NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	14.67	14.37	0.30	0.00	0.00
2	4	2	36	22.07	20.93	0.83	0.31	0.00
3	9	3	64	26.97	24.33	2.06	0.59	0.00
4	16	4	100	42.99	38.29	3.78	0.92	0.00
5	25	5	144	51.97	45.03	5.67	1.28	0.00
6	36	6	196	68.25	56.61	9.94	1.69	0.00
7	49	7	256	82.62	66.60	13.88	2.13	0.00
8	64	8	324	99.43	77.59	19.23	2.62	0.00
9	81	9	400	123.13	97.38	22.72	3.04	0.00
10	100	10	484	161.91	129.68	28.12	4.12	0.00
11	121	11	576	202.73	160.42	36.17	6.14	0.00
12	144	12	676	259.67	194.20	57.62	7.85	0.00
13	169	13	784	328.01	259.96	58.05	9.99	0.00
14	196	14	900	419.40	316.49	91.90	11.01	0.00
15	225	15	1024	471.40	370.09	87.25	14.07	0.00
