SingleRound,AllRound,WholeTime
0.0554,0.0554,662.8328
0.0698,0.1252,662.8328
0.0730,0.1982,662.8328
0.0732,0.2714,662.8328
0.0754,0.3468,662.8328
0.0481,0.3949,662.8328
0.0436,0.4385,662.8328
0.0400,0.4785,662.8328
0.0590,0.5375,662.8328
0.0359,0.5735,662.8328
0.0333,0.6068,662.8328
0.0333,0.6400,662.8328
0.0342,0.6743,662.8328
0.0380,0.7123,662.8328
0.0326,0.7450,662.8328
0.0318,0.7768,662.8328
0.0329,0.8096,662.8328
0.0317,0.8413,662.8328
0.0409,0.8822,662.8328
0.0317,0.9139,662.8328
0.0317,0.9455,662.8328
0.0322,0.9777,662.8328
0.0322,1.0099,662.8328
0.0364,1.0463,662.8328
0.0459,1.0922,662.8328
0.0319,1.1241,662.8328
0.0316,1.1557,662.8328
0.0971,1.2528,662.8328
0.1955,1.4483,662.8328
0.2405,1.6889,662.8328
0.2486,1.9374,662.8328
0.3425,2.2799,662.8328
0.3835,2.6634,662.8328
0.6332,3.2966,662.8328
0.4665,3.7631,662.8328
0.6888,4.4520,662.8328
0.6527,5.1046,662.8328
0.6952,5.7999,662.8328
0.8118,6.6117,662.8328
1.0661,7.6778,662.8328
0.6157,8.2936,662.8328
0.8235,9.1171,662.8328
0.7757,9.8927,662.8328
0.9686,10.8613,662.8328
0.9396,11.8010,662.8328
0.9675,12.7685,662.8328
1.2148,13.9833,662.8328
1.0153,14.9986,662.8328
1.1733,16.1719,662.8328
1.1366,17.3085,662.8328
1.2642,18.5727,662.8328
1.2897,19.8624,662.8328
1.5576,21.4200,662.8328
1.2499,22.6699,662.8328
1.3469,24.0167,662.8328
1.3453,25.3621,662.8328
1.4499,26.8120,662.8328
1.5049,28.3169,662.8328
1.4576,29.7745,662.8328
1.7547,31.5292,662.8328
1.5907,33.1199,662.8328
2.0053,35.1252,662.8328
1.7229,36.8481,662.8328
1.7601,38.6082,662.8328
1.9396,40.5478,662.8328
2.3238,42.8716,662.8328
2.0821,44.9537,662.8328
2.0998,47.0535,662.8328
1.9283,48.9819,662.8328
2.0032,50.9850,662.8328
2.3206,53.3057,662.8328
2.0786,55.3843,662.8328
2.8749,58.2592,662.8328
2.4072,60.6664,662.8328
2.9764,63.6428,662.8328
2.4405,66.0833,662.8328
2.5115,68.5947,662.8328
2.6141,71.2088,662.8328
3.6792,74.8880,662.8328
2.4167,77.3047,662.8328
2.6294,79.9341,662.8328
2.2179,82.1520,662.8328
2.4096,84.5616,662.8328
2.5043,87.0659,662.8328
2.4117,89.4776,662.8328
3.2541,92.7317,662.8328
2.6541,95.3859,662.8328
3.0504,98.4363,662.8328
2.7715,101.2078,662.8328
2.7478,103.9555,662.8328
2.9006,106.8561,662.8328
3.3913,110.2474,662.8328
2.6287,112.8761,662.8328
3.2585,116.1347,662.8328
2.7413,118.8760,662.8328
2.9587,121.8347,662.8328
2.9500,124.7847,662.8328
2.9234,127.7082,662.8328
3.7777,131.4859,662.8328
3.2172,134.7030,662.8328
3.6942,138.3973,662.8328
3.1334,141.5306,662.8328
3.2117,144.7424,662.8328
3.4070,148.1493,662.8328
3.8372,151.9866,662.8328
3.1222,155.1087,662.8328
3.4848,158.5936,662.8328
3.0583,161.6519,662.8328
3.2860,164.9379,662.8328
3.5217,168.4596,662.8328
3.1409,171.6005,662.8328
4.1670,175.7674,662.8328
3.5833,179.3508,662.8328
4.1657,183.5164,662.8328
3.6828,187.1992,662.8328
3.7179,190.9172,662.8328
4.0401,194.9573,662.8328
4.5426,199.4999,662.8328
3.5786,203.0784,662.8328
4.0675,207.1460,662.8328
3.4770,210.6230,662.8328
3.7585,214.3815,662.8328
3.9451,218.3266,662.8328
3.8766,222.2033,662.8328
4.7561,226.9594,662.8328
4.1771,231.1364,662.8328
4.9946,236.1310,662.8328
4.2677,240.3987,662.8328
4.6288,245.0275,662.8328
4.7463,249.7738,662.8328
5.1096,254.8833,662.8328
4.0987,258.9821,662.8328
4.7135,263.6955,662.8328
3.8381,267.5337,662.8328
4.1756,271.7093,662.8328
4.3481,276.0574,662.8328
3.9461,280.0035,662.8328
5.1438,285.1473,662.8328
4.4764,289.6237,662.8328
5.2714,294.8950,662.8328
4.5108,299.4059,662.8328
4.6760,304.0819,662.8328
4.9349,309.0168,662.8328
5.3427,314.3595,662.8328
4.3237,318.6832,662.8328
5.1468,323.8301,662.8328
4.3741,328.2042,662.8328
4.3728,332.5770,662.8328
4.7345,337.3115,662.8328
4.3741,341.6856,662.8328
5.6304,347.3160,662.8328
5.0734,352.3894,662.8328
5.5225,357.9119,662.8328
4.8363,362.7482,662.8328
4.9324,367.6805,662.8328
5.3116,372.9921,662.8328
5.6167,378.6088,662.8328
5.1340,383.7428,662.8328
5.8384,389.5812,662.8328
4.9651,394.5463,662.8328
5.2290,399.7753,662.8328
5.3738,405.1491,662.8328
5.0571,410.2062,662.8328
6.4760,416.6821,662.8328
5.4316,422.1137,662.8328
6.2898,428.4035,662.8328
5.4686,433.8721,662.8328
5.6860,439.5581,662.8328
5.8088,445.3669,662.8328
6.3442,451.7111,662.8328
5.9410,457.6520,662.8328
6.4951,464.1471,662.8328
5.8137,469.9608,662.8328
5.9827,475.9435,662.8328
6.3581,482.3017,662.8328
5.7548,488.0565,662.8328
7.0900,495.1465,662.8328
6.1391,501.2856,662.8328
7.1858,508.4714,662.8328
6.2397,514.7111,662.8328
6.4530,521.1641,662.8328
