Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
1,1,4,0.0444,0.8993
2,4,9,0.0981,2.1236
3,9,16,0.1921,4.6549
4,16,25,0.3495,11.6389
5,25,36,0.5832,23.7543
6,36,49,0.7563,41.0854
7,49,64,1.1326,77.7043
8,64,81,1.3228,115.8647
9,81,100,1.5173,160.6662
10,100,121,1.8126,228.6772
11,121,144,2.3746,357.8792
12,144,169,3.1222,542.0661
13,169,196,3.3059,662.8328
14,196,225,3.9041,895.8580
15,225,256,4.5458,1183.9881
