NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	30.23	26.79	3.43	0.00	0.00
2	4	2	36	38.63	35.82	2.50	0.31	0.00
3	9	3	64	54.43	51.27	2.90	0.26	0.00
4	16	4	100	79.60	75.93	3.39	0.28	0.00
5	25	5	144	128.40	123.88	4.18	0.33	0.00
6	36	6	196	195.61	189.72	5.45	0.44	0.00
7	49	7	256	233.70	225.98	7.19	0.53	0.00
8	64	8	324	344.60	333.66	10.14	0.81	0.00
9	81	9	400	434.49	419.10	14.16	1.23	0.00
10	100	10	484	541.66	523.24	17.01	1.40	0.00
11	121	11	576	692.56	668.29	22.37	1.91	0.00
12	144	12	676	1059.30	1028.24	28.67	2.38	0.00
13	169	13	784	1371.86	1332.26	36.53	3.07	0.00
14	196	14	900	1549.03	1500.80	44.53	3.70	0.00
15	225	15	1024	1857.11	1797.92	54.43	4.77	0.00
