Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            6.80          0.00             0.00             6.80               156.62   
0.09            0.00          0.07             0.00             0.16               156.78   
0.02            0.00          0.02             0.00             0.04               156.82   
0.02            0.00          0.02             0.00             0.04               156.86   
0.01            0.00          0.04             0.00             0.05               156.91   
0.01            0.00          0.02             0.00             0.03               156.94   
0.01            0.00          0.02             0.00             0.03               156.97   
0.01            0.00          0.04             0.00             0.05               157.02   
0.01            0.00          0.04             0.00             0.05               157.07   
0.01            0.00          0.02             0.00             0.03               157.10   
0.01            0.00          0.02             0.00             0.03               157.13   
0.01            0.00          0.02             0.00             0.03               157.16   
0.01            0.00          0.00             0.00             0.01               157.17   
0.01            0.00          0.00             0.00             0.01               157.18   
0.01            0.00          0.00             0.00             0.01               157.19   
0.01            0.00          0.00             0.00             0.01               157.20   
0.01            0.00          0.00             0.00             0.01               157.21   
0.01            0.00          0.00             0.00             0.01               157.22   
0.01            0.00          0.00             0.00             0.01               157.23   
0.01            0.00          0.00             0.00             0.01               157.24   
0.01            0.00          0.00             0.00             0.01               157.25   
0.01            0.00          0.00             0.00             0.01               157.26   
0.01            0.00          0.00             0.00             0.01               157.27   
0.01            0.00          0.00             0.00             0.01               157.28   
0.01            0.00          0.00             0.00             0.01               157.29   
0.02            0.00          0.00             0.00             0.02               157.31   
0.01            0.00          0.00             0.00             0.01               157.32   
0.01            0.00          0.00             0.00             0.01               157.33   
0.01            0.00          0.00             0.00             0.01               157.34   
0.01            0.00          0.00             0.00             0.01               157.35   
0.01            0.00          0.00             0.00             0.01               157.36   
0.01            0.00          0.00             0.00             0.01               157.37   
0.01            0.00          0.00             0.00             0.01               157.38   
0.00            0.00          0.00             0.14             0.14               157.52   
