Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.07          0.00             0.00             3.07               77.32    
0.10            0.00          0.05             0.00             0.15               77.47    
0.02            0.00          0.03             0.00             0.05               77.52    
0.02            0.00          0.02             0.00             0.04               77.56    
0.02            0.00          0.02             0.00             0.04               77.60    
0.02            0.00          0.02             0.00             0.04               77.64    
0.02            0.00          0.02             0.00             0.04               77.68    
0.02            0.00          0.02             0.00             0.04               77.72    
0.02            0.00          0.02             0.00             0.04               77.76    
0.02            0.00          0.00             0.00             0.02               77.78    
0.02            0.00          0.00             0.00             0.02               77.80    
0.02            0.00          0.00             0.00             0.02               77.82    
0.03            0.00          0.00             0.00             0.03               77.85    
0.02            0.00          0.00             0.00             0.02               77.87    
0.02            0.00          0.00             0.00             0.02               77.89    
0.02            0.00          0.00             0.00             0.02               77.91    
0.02            0.00          0.00             0.00             0.02               77.93    
0.02            0.00          0.00             0.00             0.02               77.95    
0.02            0.00          0.00             0.00             0.02               77.97    
0.02            0.00          0.00             0.00             0.02               77.99    
0.03            0.00          0.00             0.00             0.03               78.02    
0.00            0.00          0.00             0.10             0.10               78.12    
