Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            12.07         0.00             0.00             12.07              287.32   
0.28            0.00          0.10             0.00             0.38               287.70   
0.06            0.00          0.06             0.00             0.12               287.82   
0.03            0.00          0.03             0.00             0.06               287.88   
0.02            0.00          0.03             0.00             0.05               287.93   
0.03            0.00          0.02             0.00             0.05               287.98   
0.02            0.00          0.03             0.00             0.05               288.03   
0.03            0.00          0.05             0.00             0.08               288.11   
0.02            0.00          0.03             0.00             0.05               288.16   
0.02            0.00          0.06             0.00             0.08               288.24   
0.03            0.00          0.02             0.00             0.05               288.29   
0.02            0.00          0.02             0.00             0.04               288.33   
0.03            0.00          0.00             0.00             0.03               288.36   
0.02            0.00          0.00             0.00             0.02               288.38   
0.02            0.00          0.00             0.00             0.02               288.40   
0.02            0.00          0.00             0.00             0.02               288.42   
0.03            0.00          0.00             0.00             0.03               288.45   
0.02            0.00          0.00             0.00             0.02               288.47   
0.02            0.00          0.00             0.00             0.02               288.49   
0.02            0.00          0.00             0.00             0.02               288.51   
0.03            0.00          0.00             0.00             0.03               288.54   
0.03            0.00          0.00             0.00             0.03               288.57   
0.02            0.00          0.00             0.00             0.02               288.59   
0.02            0.00          0.00             0.00             0.02               288.61   
0.02            0.00          0.00             0.00             0.02               288.63   
0.02            0.00          0.00             0.00             0.02               288.65   
0.02            0.00          0.00             0.00             0.02               288.67   
0.04            0.00          0.00             0.00             0.04               288.71   
0.02            0.00          0.00             0.00             0.02               288.73   
0.02            0.00          0.00             0.00             0.02               288.75   
0.02            0.00          0.00             0.00             0.02               288.77   
0.02            0.00          0.00             0.00             0.02               288.79   
0.03            0.00          0.00             0.00             0.03               288.82   
0.00            0.00          0.00             0.30             0.30               289.12   
