Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            7.84          0.00             0.00             7.84               208.88   
0.15            0.00          0.10             0.00             0.25               209.13   
0.03            0.00          0.03             0.00             0.06               209.19   
0.02            0.00          0.03             0.00             0.05               209.24   
0.02            0.00          0.03             0.00             0.05               209.29   
0.02            0.00          0.03             0.00             0.05               209.34   
0.02            0.00          0.03             0.00             0.05               209.39   
0.02            0.00          0.07             0.00             0.09               209.48   
0.02            0.00          0.07             0.00             0.09               209.57   
0.02            0.00          0.03             0.00             0.05               209.62   
0.01            0.00          0.07             0.00             0.08               209.70   
0.02            0.00          0.05             0.00             0.07               209.77   
0.02            0.00          0.03             0.00             0.05               209.82   
0.02            0.00          0.02             0.00             0.04               209.86   
0.01            0.00          0.01             0.00             0.02               209.88   
0.01            0.00          0.01             0.00             0.02               209.90   
0.02            0.00          0.01             0.00             0.03               209.93   
0.02            0.00          0.02             0.00             0.04               209.97   
0.02            0.00          0.02             0.00             0.04               210.01   
0.03            0.00          0.01             0.00             0.04               210.05   
0.01            0.00          0.01             0.00             0.02               210.07   
0.01            0.00          0.01             0.00             0.02               210.09   
0.01            0.00          0.01             0.00             0.02               210.11   
0.01            0.00          0.01             0.00             0.02               210.13   
0.01            0.00          0.02             0.00             0.03               210.16   
0.02            0.00          0.01             0.00             0.03               210.19   
0.01            0.00          0.02             0.00             0.03               210.22   
0.01            0.00          0.01             0.00             0.02               210.24   
0.01            0.00          0.01             0.00             0.02               210.26   
0.01            0.00          0.01             0.00             0.02               210.28   
0.01            0.00          0.01             0.00             0.02               210.30   
0.01            0.00          0.02             0.00             0.03               210.33   
0.01            0.00          0.01             0.00             0.02               210.35   
0.01            0.00          0.01             0.00             0.02               210.37   
0.02            0.00          0.05             0.00             0.07               210.44   
0.02            0.00          0.01             0.00             0.03               210.47   
0.01            0.00          0.01             0.00             0.02               210.49   
0.02            0.00          0.04             0.00             0.06               210.55   
0.02            0.00          0.01             0.00             0.03               210.58   
0.01            0.00          0.01             0.00             0.02               210.60   
0.01            0.00          0.02             0.00             0.03               210.63   
0.02            0.00          0.04             0.00             0.06               210.69   
0.02            0.00          0.02             0.00             0.04               210.73   
0.02            0.00          0.01             0.00             0.03               210.76   
0.02            0.00          0.00             0.00             0.02               210.78   
0.01            0.00          0.00             0.00             0.01               210.79   
0.01            0.00          0.00             0.00             0.01               210.80   
0.01            0.00          0.00             0.00             0.01               210.81   
0.01            0.00          0.00             0.00             0.01               210.82   
0.01            0.00          0.00             0.00             0.01               210.83   
0.01            0.00          0.00             0.00             0.01               210.84   
0.01            0.00          0.00             0.00             0.01               210.85   
0.01            0.00          0.00             0.00             0.01               210.86   
0.01            0.00          0.00             0.00             0.01               210.87   
0.01            0.00          0.00             0.00             0.01               210.88   
0.01            0.00          0.00             0.00             0.01               210.89   
0.01            0.00          0.00             0.00             0.01               210.90   
0.01            0.00          0.00             0.00             0.01               210.91   
0.01            0.00          0.00             0.00             0.01               210.92   
0.01            0.00          0.00             0.00             0.01               210.93   
0.00            0.00          0.00             0.16             0.16               211.09   
