SingleRound,AllRound,WholeTime
0.0160,0.0160,1291.5089
0.0130,0.0290,1291.5089
0.0134,0.0423,1291.5089
0.0138,0.0561,1291.5089
0.0141,0.0702,1291.5089
0.0144,0.0847,1291.5089
0.0148,0.0995,1291.5089
0.0155,0.1150,1291.5089
0.0163,0.1313,1291.5089
0.0167,0.1479,1291.5089
0.0173,0.1652,1291.5089
0.0177,0.1829,1291.5089
0.0167,0.1996,1291.5089
0.0169,0.2166,1291.5089
0.0176,0.2341,1291.5089
0.0199,0.2540,1291.5089
0.0187,0.2728,1291.5089
0.0196,0.2923,1291.5089
0.0198,0.3121,1291.5089
0.0198,0.3320,1291.5089
0.0206,0.3525,1291.5089
0.0215,0.3740,1291.5089
0.0224,0.3964,1291.5089
0.0350,0.4314,1291.5089
0.0369,0.4683,1291.5089
0.0443,0.5126,1291.5089
0.0585,0.5711,1291.5089
0.0611,0.6322,1291.5089
0.0815,0.7137,1291.5089
0.0854,0.7991,1291.5089
0.0922,0.8913,1291.5089
0.1030,0.9943,1291.5089
0.1175,1.1118,1291.5089
0.1209,1.2326,1291.5089
0.1199,1.3525,1291.5089
0.1306,1.4831,1291.5089
0.1393,1.6225,1291.5089
0.1599,1.7823,1291.5089
0.1583,1.9406,1291.5089
0.1707,2.1113,1291.5089
0.1984,2.3097,1291.5089
0.2016,2.5113,1291.5089
0.2160,2.7273,1291.5089
0.2259,2.9531,1291.5089
0.2464,3.1995,1291.5089
0.2318,3.4314,1291.5089
0.2357,3.6670,1291.5089
0.2452,3.9122,1291.5089
0.2648,4.1770,1291.5089
0.2839,4.4609,1291.5089
0.3055,4.7664,1291.5089
0.3320,5.0983,1291.5089
0.3261,5.4244,1291.5089
0.3556,5.7800,1291.5089
0.3643,6.1444,1291.5089
0.3829,6.5272,1291.5089
0.4101,6.9374,1291.5089
0.4087,7.3460,1291.5089
0.4189,7.7650,1291.5089
0.4344,8.1993,1291.5089
0.4656,8.6650,1291.5089
0.4984,9.1634,1291.5089
0.5146,9.6780,1291.5089
0.5124,10.1904,1291.5089
0.5462,10.7366,1291.5089
0.5557,11.2924,1291.5089
0.5871,11.8795,1291.5089
0.6078,12.4873,1291.5089
0.5807,13.0680,1291.5089
0.6294,13.6974,1291.5089
0.6575,14.3549,1291.5089
0.6709,15.0258,1291.5089
0.6984,15.7242,1291.5089
0.7455,16.4697,1291.5089
0.7364,17.2061,1291.5089
0.7944,18.0005,1291.5089
0.8117,18.8122,1291.5089
0.8628,19.6750,1291.5089
0.8546,20.5297,1291.5089
0.8486,21.3783,1291.5089
0.8775,22.2558,1291.5089
0.9322,23.1880,1291.5089
0.9550,24.1430,1291.5089
0.9986,25.1416,1291.5089
1.1198,26.2615,1291.5089
1.0356,27.2971,1291.5089
1.0777,28.3747,1291.5089
1.1381,29.5129,1291.5089
1.2281,30.7409,1291.5089
1.1971,31.9381,1291.5089
1.1908,33.1289,1291.5089
1.2569,34.3858,1291.5089
1.3328,35.7186,1291.5089
1.3482,37.0668,1291.5089
1.4116,38.4784,1291.5089
1.4961,39.9746,1291.5089
1.4975,41.4721,1291.5089
1.5567,43.0288,1291.5089
1.5713,44.6001,1291.5089
1.6207,46.2209,1291.5089
1.6755,47.8964,1291.5089
1.6631,49.5595,1291.5089
1.7685,51.3279,1291.5089
1.8259,53.1538,1291.5089
1.8963,55.0502,1291.5089
1.9631,57.0132,1291.5089
2.0586,59.0718,1291.5089
2.0594,61.1312,1291.5089
2.1100,63.2412,1291.5089
2.2497,65.4908,1291.5089
2.2714,67.7623,1291.5089
2.3108,70.0731,1291.5089
2.3632,72.4363,1291.5089
2.4223,74.8586,1291.5089
2.5256,77.3842,1291.5089
2.6194,80.0035,1291.5089
3.2484,83.2520,1291.5089
3.1001,86.3521,1291.5089
2.9074,89.2595,1291.5089
3.3289,92.5884,1291.5089
3.1785,95.7670,1291.5089
3.1639,98.9308,1291.5089
3.1253,102.0561,1291.5089
3.3011,105.3572,1291.5089
3.3948,108.7520,1291.5089
3.5929,112.3449,1291.5089
3.7045,116.0494,1291.5089
3.6813,119.7307,1291.5089
3.9124,123.6432,1291.5089
3.8922,127.5353,1291.5089
4.0524,131.5877,1291.5089
4.2326,135.8203,1291.5089
4.3607,140.1810,1291.5089
4.5568,144.7378,1291.5089
4.6137,149.3515,1291.5089
4.9091,154.2606,1291.5089
5.0710,159.3316,1291.5089
5.3286,164.6602,1291.5089
5.6459,170.3061,1291.5089
5.7852,176.0913,1291.5089
5.8225,181.9138,1291.5089
6.1793,188.0932,1291.5089
6.2413,194.3345,1291.5089
6.4260,200.7605,1291.5089
