SingleRound,AllRound,WholeTime
0.0197,0.0197,3143.0183
0.0162,0.0359,3143.0183
0.0170,0.0529,3143.0183
0.0177,0.0706,3143.0183
0.0181,0.0886,3143.0183
0.0195,0.1081,3143.0183
0.0214,0.1295,3143.0183
0.0206,0.1500,3143.0183
0.0212,0.1712,3143.0183
0.0221,0.1932,3143.0183
0.0213,0.2145,3143.0183
0.0216,0.2362,3143.0183
0.0226,0.2587,3143.0183
0.0223,0.2811,3143.0183
0.0231,0.3042,3143.0183
0.0238,0.3281,3143.0183
0.0245,0.3526,3143.0183
0.0254,0.3780,3143.0183
0.0264,0.4043,3143.0183
0.0271,0.4314,3143.0183
0.0286,0.4600,3143.0183
0.0318,0.4918,3143.0183
0.0326,0.5244,3143.0183
0.0310,0.5554,3143.0183
0.0317,0.5871,3143.0183
0.0485,0.6356,3143.0183
0.0465,0.6821,3143.0183
0.0536,0.7358,3143.0183
0.0665,0.8023,3143.0183
0.0706,0.8729,3143.0183
0.0846,0.9575,3143.0183
0.1182,1.0757,3143.0183
0.1127,1.1884,3143.0183
0.1239,1.3123,3143.0183
0.1429,1.4552,3143.0183
0.1802,1.6355,3143.0183
0.1662,1.8017,3143.0183
0.1605,1.9622,3143.0183
0.1597,2.1219,3143.0183
0.1758,2.2976,3143.0183
0.1911,2.4888,3143.0183
0.2017,2.6905,3143.0183
0.2168,2.9073,3143.0183
0.2401,3.1474,3143.0183
0.2502,3.3976,3143.0183
0.2562,3.6538,3143.0183
0.2762,3.9300,3143.0183
0.2803,4.2103,3143.0183
0.3111,4.5214,3143.0183
0.2805,4.8019,3143.0183
0.2889,5.0908,3143.0183
0.3116,5.4025,3143.0183
0.3380,5.7405,3143.0183
0.3447,6.0852,3143.0183
0.3613,6.4465,3143.0183
0.3930,6.8395,3143.0183
0.3918,7.2312,3143.0183
0.4181,7.6493,3143.0183
0.4322,8.0815,3143.0183
0.4603,8.5418,3143.0183
0.4716,9.0134,3143.0183
0.4797,9.4931,3143.0183
0.4923,9.9854,3143.0183
0.4921,10.4775,3143.0183
0.5138,10.9913,3143.0183
0.5464,11.5377,3143.0183
0.5718,12.1095,3143.0183
0.6201,12.7296,3143.0183
0.6097,13.3393,3143.0183
0.6804,14.0197,3143.0183
0.6639,14.6837,3143.0183
0.7061,15.3898,3143.0183
0.7133,16.1031,3143.0183
0.7586,16.8617,3143.0183
0.7537,17.6154,3143.0183
0.8154,18.4309,3143.0183
0.8204,19.2513,3143.0183
0.8605,20.1117,3143.0183
0.9008,21.0126,3143.0183
0.9736,21.9861,3143.0183
0.9727,22.9588,3143.0183
0.9792,23.9380,3143.0183
1.0061,24.9441,3143.0183
1.0431,25.9873,3143.0183
1.0864,27.0737,3143.0183
1.1591,28.2328,3143.0183
1.0869,29.3197,3143.0183
1.1489,30.4685,3143.0183
1.1855,31.6540,3143.0183
1.2645,32.9185,3143.0183
1.2891,34.2076,3143.0183
1.3564,35.5641,3143.0183
1.3938,36.9578,3143.0183
1.3906,38.3484,3143.0183
1.4487,39.7971,3143.0183
1.4945,41.2916,3143.0183
1.5869,42.8785,3143.0183
1.6400,44.5186,3143.0183
1.5739,46.0925,3143.0183
1.6634,47.7559,3143.0183
1.7218,49.4778,3143.0183
1.7958,51.2736,3143.0183
1.8543,53.1279,3143.0183
1.9225,55.0504,3143.0183
1.9189,56.9692,3143.0183
1.9840,58.9532,3143.0183
2.0685,61.0217,3143.0183
2.1376,63.1593,3143.0183
2.2057,65.3650,3143.0183
2.3434,67.7084,3143.0183
2.2751,69.9835,3143.0183
2.3738,72.3573,3143.0183
2.4354,74.7927,3143.0183
2.5249,77.3176,3143.0183
2.6151,79.9326,3143.0183
2.7538,82.6864,3143.0183
2.7220,85.4084,3143.0183
2.8238,88.2323,3143.0183
3.0477,91.2799,3143.0183
3.0221,94.3021,3143.0183
3.1184,97.4205,3143.0183
3.2430,100.6635,3143.0183
3.2401,103.9036,3143.0183
3.4839,107.3875,3143.0183
3.5413,110.9288,3143.0183
3.6935,114.6222,3143.0183
3.8481,118.4703,3143.0183
3.9851,122.4555,3143.0183
4.0856,126.5411,3143.0183
4.1171,130.6582,3143.0183
4.2567,134.9150,3143.0183
4.4090,139.3240,3143.0183
4.5614,143.8854,3143.0183
4.7238,148.6092,3143.0183
4.6811,153.2903,3143.0183
5.0698,158.3602,3143.0183
5.1496,163.5098,3143.0183
5.3457,168.8555,3143.0183
5.5144,174.3699,3143.0183
5.7735,180.1433,3143.0183
5.7893,185.9326,3143.0183
5.9681,191.9007,3143.0183
6.3111,198.2118,3143.0183
6.6263,204.8381,3143.0183
6.8163,211.6544,3143.0183
7.4258,219.0802,3143.0183
10.2851,229.3653,3143.0183
10.8035,240.1688,3143.0183
7.8047,247.9735,3143.0183
7.9565,255.9299,3143.0183
8.3611,264.2910,3143.0183
8.5518,272.8429,3143.0183
8.6101,281.4530,3143.0183
8.9215,290.3745,3143.0183
9.0924,299.4669,3143.0183
9.2692,308.7361,3143.0183
9.5855,318.3216,3143.0183
10.0676,328.3892,3143.0183
10.1693,338.5585,3143.0183
10.6116,349.1701,3143.0183
10.8572,360.0273,3143.0183
11.2418,371.2691,3143.0183
11.4868,382.7559,3143.0183
11.8411,394.5970,3143.0183
11.9978,406.5949,3143.0183
12.3709,418.9657,3143.0183
12.7751,431.7408,3143.0183
13.2446,444.9854,3143.0183
13.6199,458.6054,3143.0183
