idx	BR	AR	AM	AI
0	78.67	70.70	69.19	26.97
1	429.46	361.48	354.72	68.25
2	1569.68	768.02	737.65	123.13
3	7528.63	2177.20	1996.59	259.67
4	32205.08	4055.04	3598.61	471.40
