Policy	A	B
1	2.06	0.00
2	2.24	0.27
3	2.62	0.25
4	2.67	0.32
5	3.74	0.34
6	5.94	0.46
7	11.27	0.55
8	17.49	0.82
9	34.65	1.10
10	56.77	1.44
11	81.80	1.94
12	137.38	2.41
13	180.99	3.09
14	315.80	3.86
15	414.64	4.87
