Encoding        Operation        Labels        Reduction        SingleRound        AllRounds
0.20            1.07             0.00              0.00             1.27               238021.51
0.21            2.92             0.00              0.00             3.13               238024.64
0.87            0.98             0.00              0.00             1.85               238026.49
0.05            1.02             0.00              0.00             1.07               238027.56
0.06            0.99             0.00              0.00             1.05               238028.61
0.05            0.86             0.00              0.00             0.91               238029.52
0.05            0.98             0.00              0.00             1.03               238030.55
0.05            1.31             0.00              0.00             1.36               238031.91
0.21            1.28             0.00              0.00             1.49               238033.40
0.18            1.34             0.00              0.00             1.52               238034.92
0.21            1.38             0.00              0.00             1.59               238036.51
0.19            1.68             0.00              0.00             1.87               238038.38
0.19            3.09             0.00              0.00             3.28               238041.66
0.34            1.20             0.00              0.00             1.54               238043.20
0.05            1.47             0.00              0.00             1.52               238044.72
0.21            3.62             0.00              0.00             3.83               238048.55
0.84            1.17             0.00              0.00             2.01               238050.56
0.05            1.26             0.00              0.00             1.31               238051.87
0.05            1.26             0.00              0.00             1.31               238053.18
0.05            1.25             0.00              0.00             1.30               238054.48
0.05            1.22             0.00              0.00             1.27               238055.75
0.06            1.38             0.00              0.00             1.44               238057.19
0.23            1.36             0.00              0.00             1.59               238058.78
0.21            1.22             0.00              0.00             1.43               238060.21
0.22            1.26             0.00              0.00             1.48               238061.69
0.19            3.31             0.00              0.00             3.50               238065.19
0.36            1.04             0.00              0.00             1.40               238066.59
0.06            1.25             0.00              0.00             1.31               238067.90
0.19            1.18             0.00              0.00             1.37               238069.27
0.19            1.32             0.00              0.00             1.51               238070.78
0.22            1.31             0.00              0.00             1.53               238072.31
0.18            1.33             0.00              0.00             1.51               238073.82
0.18            3.17             0.00              0.00             3.35               238077.17
0.24            1.18             0.00              0.00             1.42               238078.59
0.20            1.22             0.00              0.00             1.42               238080.01
0.20            2.96             0.00              0.00             3.16               238083.17
0.49            1.09             0.00              0.00             1.58               238084.75
0.05            1.12             0.00              0.00             1.17               238085.92
0.06            1.36             0.00              0.00             1.42               238087.34
0.19            3.73             0.00              0.00             3.92               238091.26
0.62            1.05             0.00              0.00             1.67               238092.93
0.05            1.24             0.00              0.00             1.29               238094.22
0.07            1.32             0.00              0.00             1.39               238095.61
0.06            1.32             0.00              0.00             1.38               238096.99
0.24            1.31             0.00              0.00             1.55               238098.54
0.22            3.05             0.00              0.00             3.27               238101.81
0.35            1.14             0.00              0.00             1.49               238103.30
0.07            1.30             0.00              0.00             1.37               238104.67
0.22            1.35             0.00              0.00             1.57               238106.24
0.20            1.21             0.00              0.00             1.41               238107.65
0.20            3.08             0.00              0.00             3.28               238110.93
0.22            1.43             0.00              0.00             1.65               238112.58
0.19            1.36             0.00              0.00             1.55               238114.13
0.22            3.14             0.00              0.00             3.36               238117.49
0.21            3.63             0.00              0.00             3.84               238121.33
0.51            1.10             0.00              0.00             1.61               238122.94
0.05            1.25             0.00              0.00             1.30               238124.24
0.07            1.18             0.00              0.00             1.25               238125.49
0.20            2.71             0.00              0.00             2.91               238128.40
0.23            3.24             0.00              0.00             3.47               238131.87
0.35            1.23             0.00              0.00             1.58               238133.45
0.06            12.00            0.00              0.00             12.06              238145.51
0.40            2.89             0.00              0.00             3.29               238148.80
0.11            1.24             0.00              0.00             1.35               238150.15
0.37            1.40             0.00              0.00             1.77               238151.92
0.33            0.96             0.00              0.00             1.29               238153.21
0.06            1.14             0.00              0.00             1.20               238154.41
0.32            1.09             0.00              0.00             1.41               238155.82
0.33            1.25             0.00              0.00             1.58               238157.40
0.36            1.21             0.00              0.00             1.57               238158.97
0.34            1.25             0.00              0.00             1.59               238160.56
0.33            3.02             0.00              0.00             3.35               238163.91
0.74            1.05             0.00              0.00             1.79               238165.70
0.18            3.11             0.00              0.00             3.29               238168.99
0.61            1.03             0.00              0.00             1.64               238170.63
0.05            1.01             0.00              0.00             1.06               238171.69
0.05            0.98             0.00              0.00             1.03               238172.72
0.05            1.33             0.00              0.00             1.38               238174.10
0.34            3.67             0.00              0.00             4.01               238178.11
1.31            3.31             0.00              0.00             4.62               238182.73
1.09            1.07             0.00              0.00             2.16               238184.89
0.05            1.19             0.00              0.00             1.24               238186.13
0.07            1.18             0.00              0.00             1.25               238187.38
0.05            1.15             0.00              0.00             1.20               238188.58
0.05            1.01             0.00              0.00             1.06               238189.64
0.06            1.04             0.00              0.00             1.10               238190.74
0.05            1.11             0.00              0.00             1.16               238191.90
0.05            1.23             0.00              0.00             1.28               238193.18
0.05            0.99             0.00              0.00             1.04               238194.22
0.05            0.97             0.00              0.00             1.02               238195.24
0.05            0.96             0.00              0.00             1.01               238196.25
0.05            0.97             0.00              0.00             1.02               238197.27
0.05            0.89             0.00              0.00             0.94               238198.21
0.05            0.83             0.00              0.00             0.88               238199.09
0.06            0.93             0.00              0.00             0.99               238200.08
0.06            0.95             0.00              0.00             1.01               238201.09
0.06            0.88             0.00              0.00             0.94               238202.03
0.05            1.13             0.00              0.00             1.18               238203.21
0.34            1.04             0.00              0.00             1.38               238204.59
0.19            1.26             0.00              0.00             1.45               238206.04
0.21            3.75             0.00              0.00             3.96               238210.00
1.45            1.42             0.00              0.00             2.87               238212.87
0.33            1.51             0.00              0.00             1.84               238214.71
0.34            1.44             0.00              0.00             1.78               238216.49
0.33            1.48             0.00              0.00             1.81               238218.30
0.33            2.96             0.00              0.00             3.29               238221.59
0.73            1.41             0.00              0.00             2.14               238223.73
0.19            2.89             0.00              0.00             3.08               238226.81
0.50            1.23             0.00              0.00             1.73               238228.54
0.05            1.02             0.00              0.00             1.07               238229.61
0.05            0.99             0.00              0.00             1.04               238230.65
0.05            1.16             0.00              0.00             1.21               238231.86
0.19            1.23             0.00              0.00             1.42               238233.28
0.18            3.12             0.00              0.00             3.30               238236.58
0.88            0.88             0.00              0.00             1.76               238238.34
0.05            0.94             0.00              0.00             0.99               238239.33
0.05            1.05             0.00              0.00             1.10               238240.43
0.05            1.03             0.00              0.00             1.08               238241.51
0.05            1.05             0.00              0.00             1.10               238242.61
0.05            1.07             0.00              0.00             1.12               238243.73
0.05            0.93             0.00              0.00             0.98               238244.71
0.05            0.85             0.00              0.00             0.90               238245.61
0.05            1.02             0.00              0.00             1.07               238246.68
0.05            1.09             0.00              0.00             1.14               238247.82
0.05            1.07             0.00              0.00             1.12               238248.94
0.05            1.12             0.00              0.00             1.17               238250.11
0.05            1.09             0.00              0.00             1.14               238251.25
0.06            1.06             0.00              0.00             1.12               238252.37
0.06            1.23             0.00              0.00             1.29               238253.66
0.33            1.10             0.00              0.00             1.43               238255.09
0.19            1.32             0.00              0.00             1.51               238256.60
0.18            1.38             0.00              0.00             1.56               238258.16
0.49            1.53             0.00              0.00             2.02               238260.18
0.46            1.40             0.00              0.00             1.86               238262.04
0.45            3.11             0.00              0.00             3.56               238265.60
0.96            1.24             0.00              0.00             2.20               238267.80
0.34            1.40             0.00              0.00             1.74               238269.54
0.32            3.11             0.00              0.00             3.43               238272.97
0.72            1.21             0.00              0.00             1.93               238274.90
0.21            2.72             0.00              0.00             2.93               238277.83
0.37            1.19             0.00              0.00             1.56               238279.39
