NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	43.57	26.64	14.63	0.80	1.50
2	4	2	108	98.94	48.99	44.11	4.30	1.54
3	9	3	250	225.29	76.83	126.66	20.11	1.69
4	16	4	482	397.33	93.43	236.11	65.90	1.89
5	25	5	825	1040.69	129.85	484.22	424.56	2.06
6	36	6	1296	2990.72	205.16	1112.98	1670.03	2.56
7	49	7	1918	7053.84	263.28	2282.08	4504.97	3.50
8	64	8	2712	25702.66	387.41	3970.34	21339.56	5.36
9	81	9	3701	61996.95	439.62	6720.59	54830.05	6.69
10	100	10	4903	118023.85	599.94	11293.40	106121.84	8.66
11	121	11	6322	400175.06	756.30	18367.76	381039.57	11.43
12	144	12	8020	633850.88	2447.71	30269.69	600695.88	437.61
13	169	13	9987	2278007.23	1433.35	43687.98	2232858.52	27.38
14	196	14	12254	2739408.31	1485.14	65960.34	2671927.39	35.44
