NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	16	24.26	20.11	4.14	0.00	0.00
2	4	4	36	41.39	34.70	6.69	0.00	0.00
3	9	9	64	80.74	58.71	22.03	0.00	0.00
4	16	16	100	107.93	77.37	30.55	0.00	0.00
5	25	25	144	189.96	133.48	56.49	0.00	0.00
6	36	36	196	338.85	226.33	112.52	0.00	0.00
7	49	49	256	466.80	253.61	213.20	0.00	0.00
8	64	64	324	752.02	374.68	377.34	0.00	0.00
9	81	81	400	1042.81	422.62	620.19	0.00	0.00
10	100	100	484	1621.22	545.74	1075.49	0.00	0.00
11	121	121	576	2442.16	749.58	1692.58	0.00	0.00
12	144	144	676	3892.28	1152.42	2739.86	0.00	0.00
13	169	169	784	5592.78	1505.42	4087.35	0.00	0.00
14	196	196	900	8008.43	1589.85	6418.58	0.00	0.00
15	225	225	1024	11811.03	2005.93	9805.10	0.00	0.00
