#statements rounds z3_ms cvc5_ms mcp_us mcp_pre_ms
3   64    192.1     27.9    77.5    54.5
6   196   756.2     254.3   64.4    189.7
9   400   1517.2    987.0   104.1   394.3
12  676   3122.2    4979.3  190.2   1011.7
15  1024  4545.8    5543.4  274.5   1741.5
