990.7 654.9 43.57 34.48
5157.4 885.4 98.94 52.46
25692.2 1841.5 225.29 80.56
258237.6 7436.4 397.33 112.78
3600000.0 33994.0 1040.69 204.34
3600000.0 149721.9 2990.72 338.75
3600000.0 807431.0 7053.84 477.55
3600000.0 3503209.7 25702.66 821.19
3600000.0 3600000.0 61996.95 1175.16
3600000.0 3600000.0 118023.85 1706.45
3600000.0 3600000.0 400175.06 2445.60
3600000.0 3600000.0 633850.88 3660.25
3600000.0 3600000.0 2278007.23 5010.28
3600000.0 3600000.0 2739408.31 6657.49
3600000.0 3600000.0 3600000.00 8925.24
