1848.3 650.6 44.12 31.09
10842.6 798.1 84.80 38.13
86036.4 1287.9 85.52 64.85
3600000.0 2881.9 205.91 108.65
3600000.0 7032.9 478.11 136.07
3600000.0 18137.9 1542.76 223.88
3600000.0 46016.4 5472.25 296.11
3600000.0 107720.9 11963.17 391.94
3600000.0 233795.4 57809.51 542.33
3600000.0 586262.3 98814.65 651.30
3600000.0 1291508.9 275619.34 890.86
3600000.0 3143018.3 998789.22 1390.70
3600000.0 3600000.0 1279065.28 1813.59
3600000.0 3600000.0 3600000.00 2003.40
3600000.0 3600000.0 3600000.00 2623.32
