Encoding        Operation        Labels        Reduction        SingleRound        AllRounds  
0.55            3.03             0.00              0.00             3.58               12274236.48
0.58            2.78             0.00              0.00             3.36               12274239.84
0.59            2.79             0.00              0.00             3.38               12274243.22
0.57            2.43             0.00              0.00             3.00               12274246.22
0.58            7.92             0.00              0.00             8.50               12274254.72
1.58            2.83             0.00              0.00             4.41               12274259.13
0.32            7.41             0.00              0.00             7.73               12274266.86
1.16            2.29             0.00              0.00             3.45               12274270.31
0.05            2.41             0.00              0.00             2.46               12274272.77
0.05            2.44             0.00              0.00             2.49               12274275.26
0.05            2.54             0.00              0.00             2.59               12274277.85
0.04            7.70             0.00              0.00             7.74               12274285.59
2.68            2.16             0.00              0.00             4.84               12274290.43
0.29            2.52             0.00              0.00             2.81               12274293.24
0.29            2.69             0.00              0.00             2.98               12274296.22
0.31            2.87             0.00              0.00             3.18               12274299.40
0.30            2.94             0.00              0.00             3.24               12274302.64
0.33            2.32             0.00              0.00             2.65               12274305.29
0.28            6.32             0.00              0.00             6.60               12274311.89
1.04            2.19             0.00              0.00             3.23               12274315.12
0.04            1.68             0.00              0.00             1.72               12274316.84
0.04            2.39             0.00              0.00             2.43               12274319.27
0.04            1.81             0.00              0.00             1.85               12274321.12
0.04            9.37             0.00              0.00             9.41               12274330.53
2.64            2.13             0.00              0.00             4.77               12274335.30
0.31            2.98             0.00              0.00             3.29               12274338.59
0.30            2.57             0.00              0.00             2.87               12274341.46
0.30            2.09             0.00              0.00             2.39               12274343.85
0.30            2.59             0.00              0.00             2.89               12274346.74
0.31            2.70             0.00              0.00             3.01               12274349.75
0.30            2.44             0.00              0.00             2.74               12274352.49
0.31            7.74             0.00              0.00             8.05               12274360.54
0.80            2.31             0.00              0.00             3.11               12274363.65
0.04            2.72             0.00              0.00             2.76               12274366.41
0.04            2.54             0.00              0.00             2.58               12274368.99
0.04            2.16             0.00              0.00             2.20               12274371.19
0.56            6.82             0.00              0.00             7.38               12274378.57
2.27            2.18             0.00              0.00             4.45               12274383.02
0.32            2.09             0.00              0.00             2.41               12274385.43
0.29            2.07             0.00              0.00             2.36               12274387.79
0.33            2.03             0.00              0.00             2.36               12274390.15
0.34            1.86             0.00              0.00             2.20               12274392.35
0.29            1.88             0.00              0.00             2.17               12274394.52
0.32            2.07             0.00              0.00             2.39               12274396.91
0.31            1.75             0.00              0.00             2.06               12274398.97
0.33            5.08             0.00              0.00             5.41               12274404.38
0.07            2.68             0.00              0.00             2.75               12274407.13
0.53            2.25             0.00              0.00             2.78               12274409.91
0.57            2.87             0.00              0.00             3.44               12274413.35
0.54            8.70             0.00              0.00             9.24               12274422.59
1.81            2.86             0.00              0.00             4.67               12274427.26
0.33            7.02             0.00              0.00             7.35               12274434.61
1.30            2.47             0.00              0.00             3.77               12274438.38
0.04            2.52             0.00              0.00             2.56               12274440.94
0.04            2.49             0.00              0.00             2.53               12274443.47
0.04            2.33             0.00              0.00             2.37               12274445.84
0.04            2.64             0.00              0.00             2.68               12274448.52
0.04            2.01             0.00              0.00             2.05               12274450.57
0.57            5.72             0.00              0.00             6.29               12274456.86
2.30            1.99             0.00              0.00             4.29               12274461.15
0.30            1.97             0.00              0.00             2.27               12274463.42
0.29            1.90             0.00              0.00             2.19               12274465.61
0.28            1.87             0.00              0.00             2.15               12274467.76
0.30            5.11             0.00              0.00             5.41               12274473.17
1.06            1.60             0.00              0.00             2.66               12274475.83
0.04            1.62             0.00              0.00             1.66               12274477.49
0.04            1.70             0.00              0.00             1.74               12274479.23
0.04            1.59             0.00              0.00             1.63               12274480.86
0.04            2.36             0.00              0.00             2.40               12274483.26
0.51            6.81             0.00              0.00             7.32               12274490.58
1.79            6.46             0.00              0.00             8.25               12274498.83
1.53            2.04             0.00              0.00             3.57               12274502.40
0.08            2.26             0.00              0.00             2.34               12274504.74
0.04            1.66             0.00              0.00             1.70               12274506.44
0.04            2.46             0.00              0.00             2.50               12274508.94
0.04            2.46             0.00              0.00             2.50               12274511.44
0.04            2.57             0.00              0.00             2.61               12274514.05
0.04            2.30             0.00              0.00             2.34               12274516.39
0.56            2.28             0.00              0.00             2.84               12274519.23
0.56            6.17             0.00              0.00             6.73               12274525.96
1.50            2.20             0.00              0.00             3.70               12274529.66
0.32            1.92             0.00              0.00             2.24               12274531.90
0.29            1.91             0.00              0.00             2.20               12274534.10
0.29            1.96             0.00              0.00             2.25               12274536.35
0.29            5.30             0.00              0.00             5.59               12274541.94
0.34            1.78             0.00              0.00             2.12               12274544.06
0.04            2.48             0.00              0.00             2.52               12274546.58
0.53            2.56             0.00              0.00             3.09               12274549.67
0.53            6.33             0.00              0.00             6.86               12274556.53
1.48            2.38             0.00              0.00             3.86               12274560.39
0.30            2.50             0.00              0.00             2.80               12274563.19
0.30            5.87             0.00              0.00             6.17               12274569.36
0.90            2.11             0.00              0.00             3.01               12274572.37
