Encoding        Operation        Labels        Reduction        SingleRound        AllRounds 
0.04            2.57             0.00              0.00             2.61               9769777.69
0.04            2.70             0.00              0.00             2.74               9769780.43
0.04            2.75             0.00              0.00             2.79               9769783.22
0.04            2.64             0.00              0.00             2.68               9769785.90
0.05            2.71             0.00              0.00             2.76               9769788.66
0.04            2.72             0.00              0.00             2.76               9769791.42
0.04            3.57             0.00              0.00             3.61               9769795.03
0.61            3.04             0.00              0.00             3.65               9769798.68
0.61            3.57             0.00              0.00             4.18               9769802.86
0.60            3.42             0.00              0.00             4.02               9769806.88
0.63            3.20             0.00              0.00             3.83               9769810.71
0.69            2.91             0.00              0.00             3.60               9769814.31
0.65            9.71             0.00              0.00             10.36              9769824.67
2.05            2.55             0.00              0.00             4.60               9769829.27
0.34            3.31             0.00              0.00             3.65               9769832.92
0.34            9.09             0.00              0.00             9.43               9769842.35
1.23            2.92             0.00              0.00             4.15               9769846.50
0.04            3.16             0.00              0.00             3.20               9769849.70
0.04            2.98             0.00              0.00             3.02               9769852.72
0.04            2.99             0.00              0.00             3.03               9769855.75
0.04            9.53             0.00              0.00             9.57               9769865.32
3.32            2.75             0.00              0.00             6.07               9769871.39
0.37            2.18             0.00              0.00             2.55               9769873.94
0.32            3.18             0.00              0.00             3.50               9769877.44
0.36            3.28             0.00              0.00             3.64               9769881.08
0.34            3.23             0.00              0.00             3.57               9769884.65
0.33            3.37             0.00              0.00             3.70               9769888.35
0.33            2.72             0.00              0.00             3.05               9769891.40
0.34            7.67             0.00              0.00             8.01               9769899.41
1.18            2.59             0.00              0.00             3.77               9769903.18
0.04            2.25             0.00              0.00             2.29               9769905.47
0.04            3.00             0.00              0.00             3.04               9769908.51
0.04            2.40             0.00              0.00             2.44               9769910.95
0.05            11.71            0.00              0.00             11.76              9769922.71
3.34            2.53             0.00              0.00             5.87               9769928.58
0.33            3.21             0.00              0.00             3.54               9769932.12
0.37            2.37             0.00              0.00             2.74               9769934.86
0.33            3.25             0.00              0.00             3.58               9769938.44
0.34            2.70             0.00              0.00             3.04               9769941.48
0.33            3.02             0.00              0.00             3.35               9769944.83
0.33            3.26             0.00              0.00             3.59               9769948.42
0.33            3.04             0.00              0.00             3.37               9769951.79
0.34            9.48             0.00              0.00             9.82               9769961.61
0.93            2.72             0.00              0.00             3.65               9769965.26
0.04            2.93             0.00              0.00             2.97               9769968.23
0.04            2.86             0.00              0.00             2.90               9769971.13
0.05            3.18             0.00              0.00             3.23               9769974.36
0.63            8.87             0.00              0.00             9.50               9769983.86
2.74            2.24             0.00              0.00             4.98               9769988.84
0.32            2.76             0.00              0.00             3.08               9769991.92
0.35            2.82             0.00              0.00             3.17               9769995.09
0.34            2.94             0.00              0.00             3.28               9769998.37
0.33            2.88             0.00              0.00             3.21               9770001.58
0.35            2.56             0.00              0.00             2.91               9770004.49
0.32            2.46             0.00              0.00             2.78               9770007.27
0.33            2.94             0.00              0.00             3.27               9770010.54
0.37            2.23             0.00              0.00             2.60               9770013.14
0.36            6.46             0.00              0.00             6.82               9770019.96
0.07            3.42             0.00              0.00             3.49               9770023.45
0.62            2.88             0.00              0.00             3.50               9770026.95
0.65            3.52             0.00              0.00             4.17               9770031.12
0.61            2.71             0.00              0.00             3.32               9770034.44
0.62            9.12             0.00              0.00             9.74               9770044.18
2.04            3.51             0.00              0.00             5.55               9770049.73
0.34            8.55             0.00              0.00             8.89               9770058.62
1.48            3.13             0.00              0.00             4.61               9770063.23
0.04            3.17             0.00              0.00             3.21               9770066.44
0.04            3.13             0.00              0.00             3.17               9770069.61
0.04            2.96             0.00              0.00             3.00               9770072.61
0.04            2.99             0.00              0.00             3.03               9770075.64
0.04            7.54             0.00              0.00             7.58               9770083.22
0.62            3.17             0.00              0.00             3.79               9770087.01
0.60            8.19             0.00              0.00             8.79               9770095.80
2.48            2.76             0.00              0.00             5.24               9770101.04
0.33            2.55             0.00              0.00             2.88               9770103.92
0.34            2.68             0.00              0.00             3.02               9770106.94
0.33            2.70             0.00              0.00             3.03               9770109.97
0.33            7.01             0.00              0.00             7.34               9770117.31
1.18            2.32             0.00              0.00             3.50               9770120.81
0.04            2.17             0.00              0.00             2.21               9770123.02
0.04            2.39             0.00              0.00             2.43               9770125.45
0.04            2.03             0.00              0.00             2.07               9770127.52
0.04            2.42             0.00              0.00             2.46               9770129.98
0.60            3.04             0.00              0.00             3.64               9770133.62
0.60            8.23             0.00              0.00             8.83               9770142.45
2.02            8.07             0.00              0.00             10.09              9770152.54
1.72            2.31             0.00              0.00             4.03               9770156.57
0.05            2.97             0.00              0.00             3.02               9770159.59
0.04            2.12             0.00              0.00             2.16               9770161.75
0.04            3.01             0.00              0.00             3.05               9770164.80
0.04            3.05             0.00              0.00             3.09               9770167.89
0.04            3.06             0.00              0.00             3.10               9770170.99
0.04            2.93             0.00              0.00             2.97               9770173.96
0.63            2.82             0.00              0.00             3.45               9770177.41
0.61            7.66             0.00              0.00             8.27               9770185.68
1.93            2.62             0.00              0.00             4.55               9770190.23
0.36            2.37             0.00              0.00             2.73               9770192.96
0.32            2.36             0.00              0.00             2.68               9770195.64
0.32            2.37             0.00              0.00             2.69               9770198.33
0.32            6.56             0.00              0.00             6.88               9770205.21
0.63            1.85             0.00              0.00             2.48               9770207.69
0.04            2.21             0.00              0.00             2.25               9770209.94
0.04            2.97             0.00              0.00             3.01               9770212.95
0.59            2.79             0.00              0.00             3.38               9770216.33
0.61            7.78             0.00              0.00             8.39               9770224.72
1.94            2.61             0.00              0.00             4.55               9770229.27
0.35            2.34             0.00              0.00             2.69               9770231.96
0.33            2.65             0.00              0.00             2.98               9770234.94
0.34            6.93             0.00              0.00             7.27               9770242.21
0.92            2.44             0.00              0.00             3.36               9770245.57
0.04            2.48             0.00              0.00             2.52               9770248.09
0.04            2.45             0.00              0.00             2.49               9770250.58
0.04            2.43             0.00              0.00             2.47               9770253.05
0.59            2.44             0.00              0.00             3.03               9770256.08
0.60            6.55             0.00              0.00             7.15               9770263.23
1.89            2.13             0.00              0.00             4.02               9770267.25
0.34            2.15             0.00              0.00             2.49               9770269.74
0.32            5.96             0.00              0.00             6.28               9770276.02
1.16            1.91             0.00              0.00             3.07               9770279.09
0.04            2.11             0.00              0.00             2.15               9770281.24
0.04            2.05             0.00              0.00             2.09               9770283.33
0.04            1.85             0.00              0.00             1.89               9770285.22
0.04            3.03             0.00              0.00             3.07               9770288.29
0.59            3.35             0.00              0.00             3.94               9770292.23
0.61            8.38             0.00              0.00             8.99               9770301.22
1.98            2.27             0.00              0.00             4.25               9770305.47
0.33            2.72             0.00              0.00             3.05               9770308.52
0.35            2.80             0.00              0.00             3.15               9770311.67
0.36            2.94             0.00              0.00             3.30               9770314.97
0.34            7.36             0.00              0.00             7.70               9770322.67
0.64            2.56             0.00              0.00             3.20               9770325.87
0.04            2.33             0.00              0.00             2.37               9770328.24
0.04            2.67             0.00              0.00             2.71               9770330.95
0.64            7.26             0.00              0.00             7.90               9770338.85
1.46            2.16             0.00              0.00             3.62               9770342.47
0.33            6.90             0.00              0.00             7.23               9770349.70
0.91            2.35             0.00              0.00             3.26               9770352.96
0.04            2.12             0.00              0.00             2.16               9770355.12
0.04            2.20             0.00              0.00             2.24               9770357.36
0.08            3.39             0.00              0.00             3.47               9770360.83
0.67            3.61             0.00              0.00             4.28               9770365.11
0.61            3.46             0.00              0.00             4.07               9770369.18
0.65            3.50             0.00              0.00             4.15               9770373.33
0.61            6.87             0.00              0.00             7.48               9770380.81
0.62            6.84             0.00              0.00             7.46               9770388.27
0.36            2.04             0.00              0.00             2.40               9770390.67
0.04            7.96             0.00              0.00             8.00               9770398.67
1.70            2.17             0.00              0.00             3.87               9770402.54
0.33            2.92             0.00              0.00             3.25               9770405.79
0.33            7.31             0.00              0.00             7.64               9770413.43
0.92            2.67             0.00              0.00             3.59               9770417.02
0.04            3.13             0.00              0.00             3.17               9770420.19
0.04            3.05             0.00              0.00             3.09               9770423.28
0.04            3.39             0.00              0.00             3.43               9770426.71
0.61            3.61             0.00              0.00             4.22               9770430.93
0.60            3.61             0.00              0.00             4.21               9770435.14
0.63            3.43             0.00              0.00             4.06               9770439.20
0.62            7.40             0.00              0.00             8.02               9770447.22
0.60            2.30             0.00              0.00             2.90               9770450.12
0.33            6.64             0.00              0.00             6.97               9770457.09
0.09            8.22             0.00              0.00             8.31               9770465.40
1.71            9.14             0.00              0.00             10.85              9770476.25
1.21            7.88             0.00              0.00             9.09               9770485.34
1.49            7.77             0.00              0.00             9.26               9770494.60
1.45            7.94             0.00              0.00             9.39               9770503.99
0.98            7.37             0.00              0.00             8.35               9770512.34
1.19            8.34             0.00              0.00             9.53               9770521.87
0.36            7.53             0.00              0.00             7.89               9770529.76
0.36            14.09            0.00              0.00             14.45              9770544.21
0.39            5.21             0.00              0.00             5.60               9770549.81
0.09            3.43             0.00              0.00             3.52               9770553.33
0.35            9.05             0.00              0.00             9.40               9770562.73
0.93            2.86             0.00              0.00             3.79               9770566.52
0.04            2.77             0.00              0.00             2.81               9770569.33
0.04            3.24             0.00              0.00             3.28               9770572.61
0.05            6.10             0.00              0.00             6.15               9770578.76
1.22            7.35             0.00              0.00             8.57               9770587.33
0.93            7.94             0.00              0.00             8.87               9770596.20
0.92            8.96             0.00              0.00             9.88               9770606.08
0.97            6.64             0.00              0.00             7.61               9770613.69
0.39            7.95             0.00              0.00             8.34               9770622.03
0.66            6.59             0.00              0.00             7.25               9770629.28
0.07            6.50             0.00              0.00             6.57               9770635.85
0.11            2.07             0.00              0.00             2.18               9770638.03
0.04            1.97             0.00              0.00             2.01               9770640.04
0.04            2.06             0.00              0.00             2.10               9770642.14
0.04            2.13             0.00              0.00             2.17               9770644.31
0.04            2.80             0.00              0.00             2.84               9770647.15
0.04            2.80             0.00              0.00             2.84               9770649.99
0.05            2.56             0.00              0.00             2.61               9770652.60
0.04            2.87             0.00              0.00             2.91               9770655.51
0.04            3.07             0.00              0.00             3.11               9770658.62
0.04            3.09             0.00              0.00             3.13               9770661.75
0.04            2.98             0.00              0.00             3.02               9770664.77
0.04            2.96             0.00              0.00             3.00               9770667.77
0.05            3.10             0.00              0.00             3.15               9770670.92
0.04            2.73             0.00              0.00             2.77               9770673.69
0.05            3.21             0.00              0.00             3.26               9770676.95
0.04            2.62             0.00              0.00             2.66               9770679.61
0.06            2.65             0.00              0.00             2.71               9770682.32
0.33            2.34             0.00              0.00             2.67               9770684.99
0.04            2.34             0.00              0.00             2.38               9770687.37
0.33            2.02             0.00              0.00             2.35               9770689.72
0.03            2.66             0.00              0.00             2.69               9770692.41
0.33            2.40             0.00              0.00             2.73               9770695.14
0.04            2.41             0.00              0.00             2.45               9770697.59
0.32            2.12             0.00              0.00             2.44               9770700.03
0.03            2.77             0.00              0.00             2.80               9770702.83
0.34            2.85             0.00              0.00             3.19               9770706.02
0.37            2.59             0.00              0.00             2.96               9770708.98
0.34            2.36             0.00              0.00             2.70               9770711.68
0.34            2.71             0.00              0.00             3.05               9770714.73
0.33            2.04             0.00              0.00             2.37               9770717.10
0.33            7.81             0.00              0.00             8.14               9770725.24
1.49            1.81             0.00              0.00             3.30               9770728.54
0.04            2.50             0.00              0.00             2.54               9770731.08
0.04            2.19             0.00              0.00             2.23               9770733.31
0.03            2.41             0.00              0.00             2.44               9770735.75
0.04            2.31             0.00              0.00             2.35               9770738.10
0.03            2.16             0.00              0.00             2.19               9770740.29
0.04            1.72             0.00              0.00             1.76               9770742.05
0.04            1.75             0.00              0.00             1.79               9770743.84
0.04            2.53             0.00              0.00             2.57               9770746.41
0.04            2.35             0.00              0.00             2.39               9770748.80
0.03            2.29             0.00              0.00             2.32               9770751.12
0.04            2.51             0.00              0.00             2.55               9770753.67
0.03            2.53             0.00              0.00             2.56               9770756.23
0.05            2.35             0.00              0.00             2.40               9770758.63
0.04            2.47             0.00              0.00             2.51               9770761.14
0.04            2.40             0.00              0.00             2.44               9770763.58
0.07            2.53             0.00              0.00             2.60               9770766.18
0.35            2.33             0.00              0.00             2.68               9770768.86
0.04            2.64             0.00              0.00             2.68               9770771.54
0.35            2.67             0.00              0.00             3.02               9770774.56
0.33            2.66             0.00              0.00             2.99               9770777.55
0.33            2.36             0.00              0.00             2.69               9770780.24
0.33            2.70             0.00              0.00             3.03               9770783.27
0.33            2.65             0.00              0.00             2.98               9770786.25
0.34            8.30             0.00              0.00             8.64               9770794.89
2.07            1.70             0.00              0.00             3.77               9770798.66
0.05            2.48             0.00              0.00             2.53               9770801.19
0.04            1.83             0.00              0.00             1.87               9770803.06
0.04            2.43             0.00              0.00             2.47               9770805.53
0.04            2.31             0.00              0.00             2.35               9770807.88
0.04            2.41             0.00              0.00             2.45               9770810.33
0.04            2.44             0.00              0.00             2.48               9770812.81
