Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.24          0.00             0.00             3.24               77.42    
0.10            0.00          0.02             0.00             0.12               77.54    
0.02            0.00          0.01             0.00             0.03               77.57    
0.02            0.00          0.01             0.00             0.03               77.60    
0.02            0.00          0.01             0.00             0.03               77.63    
0.03            0.00          0.01             0.00             0.04               77.67    
0.02            0.00          0.01             0.00             0.03               77.70    
0.02            0.00          0.01             0.00             0.03               77.73    
0.02            0.00          0.01             0.00             0.03               77.76    
0.00            0.00          0.02             0.00             0.02               77.78    
0.01            0.00          0.00             0.00             0.01               77.79    
0.02            0.00          0.00             0.00             0.02               77.81    
0.00            0.00          0.02             0.00             0.02               77.83    
0.02            0.00          0.00             0.00             0.02               77.85    
0.02            0.00          0.00             0.00             0.02               77.87    
0.02            0.00          0.00             0.00             0.02               77.89    
0.00            0.00          0.02             0.00             0.02               77.91    
0.01            0.00          0.00             0.00             0.01               77.92    
0.02            0.00          0.00             0.00             0.02               77.94    
0.02            0.00          0.00             0.00             0.02               77.96    
0.00            0.00          0.02             0.00             0.02               77.98    
0.00            0.00          0.00             0.13             0.13               78.11    
