Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.14          0.00             0.00             3.14               71.15    
0.08            0.00          0.01             0.00             0.09               71.24    
0.02            0.00          0.01             0.00             0.03               71.27    
0.02            0.00          0.01             0.00             0.03               71.30    
0.02            0.00          0.00             0.00             0.02               71.32    
0.02            0.00          0.01             0.00             0.03               71.35    
0.02            0.00          0.00             0.00             0.02               71.37    
0.02            0.00          0.01             0.00             0.03               71.40    
0.02            0.00          0.00             0.00             0.02               71.42    
0.02            0.00          0.00             0.00             0.02               71.44    
0.02            0.00          0.00             0.00             0.02               71.46    
0.02            0.00          0.00             0.00             0.02               71.48    
0.01            0.00          0.00             0.00             0.01               71.49    
0.00            0.00          0.00             0.11             0.11               71.60    
