Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            10.84         0.00             0.00             10.84              272.84   
0.14            0.00          0.03             0.00             0.17               273.01   
0.04            0.00          0.01             0.00             0.05               273.06   
0.02            0.00          0.02             0.00             0.04               273.10   
0.02            0.00          0.01             0.00             0.03               273.13   
0.02            0.00          0.02             0.00             0.04               273.17   
0.02            0.00          0.01             0.00             0.03               273.20   
0.02            0.00          0.01             0.00             0.03               273.23   
0.02            0.00          0.01             0.00             0.03               273.26   
0.02            0.00          0.02             0.00             0.04               273.30   
0.02            0.00          0.02             0.00             0.04               273.34   
0.02            0.00          0.01             0.00             0.03               273.37   
0.02            0.00          0.01             0.00             0.03               273.40   
0.02            0.00          0.01             0.00             0.03               273.43   
0.02            0.00          0.00             0.00             0.02               273.45   
0.02            0.00          0.00             0.00             0.02               273.47   
0.00            0.00          0.02             0.00             0.02               273.49   
0.02            0.00          0.00             0.00             0.02               273.51   
0.00            0.00          0.02             0.00             0.02               273.53   
0.03            0.00          0.00             0.00             0.03               273.56   
0.01            0.00          0.02             0.00             0.03               273.59   
0.02            0.00          0.00             0.00             0.02               273.61   
0.00            0.00          0.01             0.00             0.01               273.62   
0.01            0.00          0.00             0.00             0.01               273.63   
0.00            0.00          0.01             0.00             0.01               273.64   
0.01            0.00          0.00             0.00             0.01               273.65   
0.01            0.00          0.01             0.00             0.02               273.67   
0.00            0.00          0.02             0.00             0.02               273.69   
0.01            0.00          0.00             0.00             0.01               273.70   
0.02            0.00          0.02             0.00             0.04               273.74   
0.02            0.00          0.00             0.00             0.02               273.76   
0.00            0.00          0.01             0.00             0.01               273.77   
0.00            0.00          0.01             0.00             0.01               273.78   
0.01            0.00          0.00             0.00             0.01               273.79   
0.02            0.00          0.01             0.00             0.03               273.82   
0.02            0.00          0.00             0.00             0.02               273.84   
0.01            0.00          0.01             0.00             0.02               273.86   
0.01            0.00          0.00             0.00             0.01               273.87   
0.01            0.00          0.01             0.00             0.02               273.89   
0.02            0.00          0.00             0.00             0.02               273.91   
0.03            0.00          0.00             0.00             0.03               273.94   
0.02            0.00          0.01             0.00             0.03               273.97   
0.02            0.00          0.01             0.00             0.03               274.00   
0.02            0.00          0.01             0.00             0.03               274.03   
0.02            0.00          0.00             0.00             0.02               274.05   
0.01            0.00          0.00             0.00             0.01               274.06   
0.00            0.00          0.01             0.00             0.01               274.07   
0.00            0.00          0.01             0.00             0.01               274.08   
0.01            0.00          0.00             0.00             0.01               274.09   
0.00            0.00          0.01             0.00             0.01               274.10   
0.01            0.00          0.00             0.00             0.01               274.11   
0.01            0.00          0.00             0.00             0.01               274.12   
0.00            0.00          0.01             0.00             0.01               274.13   
0.01            0.00          0.00             0.00             0.01               274.14   
0.00            0.00          0.01             0.00             0.01               274.15   
0.00            0.00          0.01             0.00             0.01               274.16   
0.00            0.00          0.01             0.00             0.01               274.17   
0.01            0.00          0.00             0.00             0.01               274.18   
0.00            0.00          0.00             0.18             0.18               274.36   
