Policy	A	B
1	2.35	0.00
2	2.09	0.29
3	2.47	0.27
4	2.97	0.33
5	5.13	0.44
6	8.93	0.66
7	15.57	0.92
8	37.53	1.57
9	53.80	2.34
10	94.27	2.53
11	144.65	3.45
12	195.13	4.26
13	282.21	5.44
14	386.56	6.88
15	654.70	7.76
