Policy	A	B
1	3.37	3.43
2	2.90	2.50
3	4.17	2.90
4	6.90	3.39
5	8.26	4.18
6	12.37	5.45
7	17.31	7.19
8	28.09	10.14
9	40.57	14.16
10	57.47	17.01
11	83.79	22.37
12	112.37	28.67
13	153.18	36.53
14	205.85	44.53
15	278.32	54.43
