Policy	A	B
1	29.63	14.37
2	50.03	20.93
3	66.01	24.33
4	118.90	38.29
5	207.84	45.03
6	346.78	56.61
7	417.03	66.60
8	609.43	77.59
9	712.06	97.38
10	926.76	129.68
11	1218.19	160.42
12	1930.81	194.20
13	2513.95	259.96
14	2853.89	316.49
15	3458.54	370.09
