Policy	A	B
319	8.14	2.28
320	8.19	1.47
321	8.24	1.73
322	8.27	0.88
323	8.28	7.02
324	8.31	1.97
325	8.33	1.69
326	8.33	1.05
327	8.43	1.83
328	8.44	1.28
329	8.46	1.59
330	8.48	3.16
331	8.48	3.24
332	8.53	4.89
333	8.57	0.93
334	8.61	1.51
335	8.61	1.49
336	8.69	3.03
337	8.77	1.35
338	8.77	1.57
339	8.81	1.14
340	8.83	3.39
341	8.84	1.45
342	8.93	3.00
343	8.94	1.98
344	8.96	1.05
