Policy	A	B
0	0.19	0.20
1	0.19	0.20
2	0.22	0.18
3	0.25	0.27
4	0.26	0.25
5	0.26	0.25
6	0.27	0.26
7	0.27	0.27
8	0.28	0.07
9	0.32	0.32
10	0.32	0.32
11	0.32	0.33
12	0.35	0.32
13	0.35	0.32
14	0.35	0.34
15	0.35	0.34
16	0.36	0.33
17	0.36	0.39
18	0.36	0.30
19	0.36	0.33
20	0.36	0.35
21	0.36	0.32
22	0.37	0.44
23	0.37	0.33
24	0.37	0.32
25	0.37	0.38
26	0.37	0.32
27	0.37	0.34
28	0.37	0.34
29	0.37	0.34
30	0.37	0.34
31	0.37	0.34
32	0.38	0.34
33	0.38	0.33
34	0.40	0.32
35	0.40	0.33
36	0.44	0.33
37	0.47	0.40
38	0.48	0.41
39	0.48	0.42
40	0.49	0.43
41	0.51	0.41
42	0.53	0.47
43	0.55	0.51
44	0.55	0.52
45	0.56	0.47
46	0.56	0.52
47	0.56	0.46
48	0.57	0.48
49	0.57	0.51
50	0.57	0.51
51	0.58	0.57
52	0.58	0.51
53	0.58	0.51
54	0.58	0.49
55	0.58	0.52
56	0.58	0.51
57	0.58	0.52
58	0.58	0.51
59	0.58	0.61
60	0.59	0.58
61	0.59	0.57
62	0.59	0.62
63	0.59	0.52
64	0.59	0.58
65	0.59	0.59
66	0.59	0.52
67	0.59	0.51
68	0.59	0.52
69	0.59	0.51
70	0.59	0.61
71	0.60	0.67
72	0.60	0.53
73	0.60	0.64
74	0.60	0.51
75	0.60	0.59
76	0.60	0.51
77	0.60	0.51
78	0.60	0.52
79	0.60	0.50
80	0.60	0.50
81	0.60	0.51
82	0.60	0.50
83	0.60	0.51
84	0.60	0.51
85	0.60	0.51
86	0.60	0.59
87	0.60	0.50
88	0.60	0.49
89	0.60	0.51
90	0.60	0.51
91	0.60	0.51
92	0.60	0.58
93	0.60	0.51
94	0.60	0.51
95	0.60	0.50
96	0.60	0.51
97	0.60	0.51
98	0.60	0.51
99	0.60	0.57
100	0.60	0.51
101	0.60	0.53
102	0.60	0.57
103	0.60	0.56
104	0.60	0.52
105	0.60	0.51
106	0.60	0.49
107	0.61	0.52
108	0.61	0.54
109	0.61	0.51
110	0.61	0.70
111	0.61	0.51
112	0.61	0.50
113	0.61	0.53
114	0.61	0.51
115	0.61	0.52
116	0.61	0.57
117	0.61	0.60
118	0.61	0.51
119	0.61	0.51
120	0.61	0.51
121	0.61	0.58
122	0.61	0.57
123	0.61	0.52
124	0.61	0.50
125	0.61	0.50
126	0.61	0.53
127	0.61	0.52
128	0.61	0.52
129	0.61	0.51
130	0.61	0.52
131	0.61	0.52
132	0.61	0.52
133	0.61	0.51
134	0.61	0.51
135	0.61	0.51
136	0.61	0.49
137	0.61	0.51
138	0.61	0.51
139	0.61	0.55
140	0.62	0.54
141	0.62	0.54
142	0.62	0.53
143	0.62	0.51
144	0.62	0.62
145	0.62	0.50
146	0.62	0.50
147	0.62	0.51
148	0.62	0.51
149	0.62	0.56
150	0.62	0.51
151	0.62	0.51
152	0.62	0.51
153	0.62	0.52
154	0.62	0.51
155	0.62	0.52
156	0.62	0.51
157	0.62	0.52
158	0.62	0.52
159	0.62	0.50
160	0.62	0.52
161	0.62	0.51
162	0.62	0.52
163	0.62	0.50
164	0.62	0.55
165	0.62	0.51
166	0.62	0.62
167	0.62	0.50
168	0.62	0.56
169	0.62	0.51
170	0.62	0.52
171	0.62	0.51
172	0.62	0.53
173	0.62	0.53
174	0.62	0.53
175	0.62	0.47
176	0.62	0.53
177	0.62	0.51
178	0.62	0.52
179	0.62	0.50
180	0.63	0.63
181	0.63	0.62
182	0.63	0.54
183	0.63	0.59
184	0.63	0.50
185	0.63	0.57
186	0.63	0.52
187	0.63	0.54
188	0.63	0.57
189	0.63	0.59
190	0.63	0.51
191	0.63	0.51
192	0.63	0.50
193	0.63	0.53
194	0.63	0.50
195	0.63	0.50
196	0.63	0.52
197	0.63	0.51
198	0.63	0.63
199	0.63	0.51
200	0.63	0.51
201	0.63	0.53
202	0.63	0.53
203	0.63	0.52
204	0.63	0.53
205	0.63	0.53
206	0.63	0.53
207	0.63	0.51
208	0.63	0.49
209	0.63	0.51
210	0.63	0.49
211	0.64	0.54
212	0.64	0.55
213	0.64	0.53
214	0.64	0.52
215	0.64	0.49
216	0.64	0.49
217	0.64	0.49
218	0.65	0.58
219	0.65	0.52
220	0.65	0.66
221	0.66	0.57
222	0.66	0.07
223	0.67	0.60
224	0.67	0.52
225	0.67	0.52
226	0.67	0.52
227	0.68	0.50
228	0.69	0.50
229	0.70	0.50
230	0.70	0.52
231	0.71	0.76
232	0.71	0.52
233	0.71	0.52
234	0.74	0.64
235	0.75	0.62
236	0.75	0.51
237	0.79	0.60
238	0.86	0.68
239	0.89	0.79
240	0.90	0.93
241	0.90	0.79
242	0.91	0.78
243	0.92	0.78
244	0.93	0.82
245	0.93	0.81
246	0.94	0.80
247	0.94	0.80
248	0.94	0.78
249	0.94	0.89
250	0.94	0.79
251	0.94	0.78
252	0.94	0.83
253	0.94	0.75
254	0.94	0.80
255	0.94	0.79
256	0.95	0.81
257	0.95	0.77
258	0.95	0.77
259	0.95	0.90
260	0.95	0.79
261	0.95	0.80
262	0.95	0.77
263	0.95	0.80
264	0.95	0.79
265	0.96	0.80
266	0.96	0.79
267	0.96	0.78
268	0.96	0.77
269	0.96	0.80
270	0.96	0.80
271	0.96	0.78
272	0.96	0.69
273	0.96	0.77
274	0.96	0.78
275	0.96	0.79
276	0.96	0.79
277	0.96	0.83
278	0.96	0.78
279	0.96	0.75
280	0.96	0.80
281	0.96	0.79
282	0.96	0.81
283	0.96	0.75
284	0.96	0.75
285	0.96	0.78
