Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.01            0.00          0.17             0.00             0.18               27373.43 
0.01            0.00          0.16             0.00             0.17               27373.60 
0.01            0.00          1.03             0.00             1.04               27374.64 
0.02            0.00          0.17             0.00             0.19               27374.83 
0.02            0.00          0.16             0.00             0.18               27375.01 
0.01            0.00          0.16             0.00             0.17               27375.18 
0.01            0.00          0.17             0.00             0.18               27375.36 
0.01            0.00          0.16             0.00             0.17               27375.53 
0.01            0.00          1.03             0.00             1.04               27376.57 
0.02            0.00          1.00             0.00             1.02               27377.59 
0.02            0.00          1.13             0.00             1.15               27378.74 
0.03            0.00          1.12             0.00             1.15               27379.89 
0.03            0.00          1.12             0.00             1.15               27381.04 
0.02            0.00          1.13             0.00             1.15               27382.19 
0.03            0.00          1.16             0.00             1.19               27383.38 
0.03            0.00          1.10             0.00             1.13               27384.51 
0.02            0.00          1.12             0.00             1.14               27385.65 
0.03            0.00          1.12             0.00             1.15               27386.80 
0.03            0.00          1.14             0.00             1.17               27387.97 
0.02            0.00          1.19             0.00             1.21               27389.18 
0.02            0.00          1.08             0.00             1.10               27390.28 
0.03            0.00          1.11             0.00             1.14               27391.42 
0.03            0.00          0.17             0.00             0.20               27391.62 
0.02            0.00          0.18             0.00             0.20               27391.82 
0.02            0.00          0.19             0.00             0.21               27392.03 
0.01            0.00          0.17             0.00             0.18               27392.21 
0.01            0.00          0.18             0.00             0.19               27392.40 
0.01            0.00          0.18             0.00             0.19               27392.59 
0.01            0.00          0.18             0.00             0.19               27392.78 
0.02            0.00          0.18             0.00             0.20               27392.98 
0.01            0.00          0.18             0.00             0.19               27393.17 
0.01            0.00          0.16             0.00             0.17               27393.34 
0.01            0.00          0.17             0.00             0.18               27393.52 
0.02            0.00          0.18             0.00             0.20               27393.72 
0.02            0.00          0.17             0.00             0.19               27393.91 
0.01            0.00          0.18             0.00             0.19               27394.10 
0.02            0.00          0.16             0.00             0.18               27394.28 
0.01            0.00          0.17             0.00             0.18               27394.46 
0.02            0.00          0.16             0.00             0.18               27394.64 
0.02            0.00          0.17             0.00             0.19               27394.83 
0.01            0.00          0.15             0.00             0.16               27394.99 
0.02            0.00          0.16             0.00             0.18               27395.17 
0.01            0.00          0.17             0.00             0.18               27395.35 
0.01            0.00          0.16             0.00             0.17               27395.52 
0.02            0.00          0.16             0.00             0.18               27395.70 
0.02            0.00          0.17             0.00             0.19               27395.89 
0.02            0.00          0.17             0.00             0.19               27396.08 
0.01            0.00          0.18             0.00             0.19               27396.27 
0.01            0.00          0.18             0.00             0.19               27396.46 
0.01            0.00          0.17             0.00             0.18               27396.64 
0.02            0.00          0.18             0.00             0.20               27396.84 
0.02            0.00          0.17             0.00             0.19               27397.03 
0.01            0.00          0.17             0.00             0.18               27397.21 
0.02            0.00          0.17             0.00             0.19               27397.40 
0.01            0.00          0.17             0.00             0.18               27397.58 
0.02            0.00          0.18             0.00             0.20               27397.78 
0.02            0.00          0.18             0.00             0.20               27397.98 
0.02            0.00          0.18             0.00             0.20               27398.18 
0.01            0.00          0.18             0.00             0.19               27398.37 
0.02            0.00          0.17             0.00             0.19               27398.56 
0.02            0.00          0.19             0.00             0.21               27398.77 
0.02            0.00          0.18             0.00             0.20               27398.97 
0.02            0.00          0.18             0.00             0.20               27399.17 
0.01            0.00          0.17             0.00             0.18               27399.35 
0.02            0.00          0.16             0.00             0.18               27399.53 
0.02            0.00          0.18             0.00             0.20               27399.73 
0.02            0.00          0.18             0.00             0.20               27399.93 
0.02            0.00          0.18             0.00             0.20               27400.13 
0.01            0.00          0.18             0.00             0.19               27400.32 
0.02            0.00          0.17             0.00             0.19               27400.51 
0.02            0.00          0.17             0.00             0.19               27400.70 
0.03            0.00          0.10             0.00             0.13               27400.83 
0.02            0.00          0.09             0.00             0.11               27400.94 
0.01            0.00          0.09             0.00             0.10               27401.04 
0.01            0.00          0.09             0.00             0.10               27401.14 
0.01            0.00          0.09             0.00             0.10               27401.24 
0.01            0.00          0.09             0.00             0.10               27401.34 
0.01            0.00          0.09             0.00             0.10               27401.44 
0.01            0.00          0.09             0.00             0.10               27401.54 
0.01            0.00          0.09             0.00             0.10               27401.64 
0.02            0.00          0.08             0.00             0.10               27401.74 
0.01            0.00          0.09             0.00             0.10               27401.84 
0.01            0.00          1.03             0.00             1.04               27402.88 
0.02            0.00          0.09             0.00             0.11               27402.99 
0.01            0.00          0.09             0.00             0.10               27403.09 
0.01            0.00          0.09             0.00             0.10               27403.19 
0.01            0.00          0.09             0.00             0.10               27403.29 
0.01            0.00          0.08             0.00             0.09               27403.38 
0.02            0.00          0.09             0.00             0.11               27403.49 
