SingleRound,AllRound,WholeTime
0.0192,0.0192,2.5615
0.0026,0.0218,2.5615
0.0109,0.0327,2.5615
0.0027,0.0354,2.5615
0.0064,0.0419,2.5615
0.0061,0.0479,2.5615
0.0028,0.0507,2.5615
0.0104,0.0611,2.5615
0.0027,0.0639,2.5615
0.0420,0.1059,2.5615
0.0388,0.1447,2.5615
0.0575,0.2022,2.5615
0.0736,0.2758,2.5615
0.0385,0.3144,2.5615
0.1195,0.4339,2.5615
0.0685,0.5024,2.5615
0.0691,0.5715,2.5615
0.0504,0.6218,2.5615
0.1762,0.7980,2.5615
0.1992,0.9972,2.5615
0.0980,1.0952,2.5615
0.0998,1.1950,2.5615
0.1326,1.3276,2.5615
0.1729,1.5004,2.5615
0.2383,1.7388,2.5615
