Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
1,1,4,0.0057,0.4077
2,4,9,0.0159,0.6246
3,9,16,0.0280,0.9720
4,16,25,0.0696,2.5615
5,25,36,0.1338,5.8338
6,36,49,0.2453,13.1188
7,49,64,0.3287,22.0582
8,64,81,0.6358,52.7105
9,81,100,0.9870,100.4723
10,100,121,1.5274,187.0740
11,121,144,2.6043,377.6167
12,144,169,4.9793,844.5674
13,169,196,7.9219,1555.3479
14,196,225,14.2555,3210.8474
