Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
1,1,8,0.0018,0.6549
2,2,25,0.0039,0.8854
3,3,55,0.0117,1.8415
4,4,101,0.0470,7.4364
5,5,166,0.1586,33.9940
6,6,253,0.4784,149.7219
7,7,365,1.8667,807.4310
8,8,505,6.1576,3503.2097
