Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.01            0.00          0.05             0.00             0.06               9964.26  
0.01            0.00          0.05             0.00             0.06               9964.32  
0.01            0.00          0.05             0.00             0.06               9964.38  
0.02            0.00          0.05             0.00             0.07               9964.45  
0.01            0.00          0.05             0.00             0.06               9964.51  
0.02            0.00          0.05             0.00             0.07               9964.58  
0.01            0.00          0.05             0.00             0.06               9964.64  
0.02            0.00          0.06             0.00             0.08               9964.72  
0.02            0.00          0.05             0.00             0.07               9964.79  
0.01            0.00          0.05             0.00             0.06               9964.85  
0.01            0.00          0.05             0.00             0.06               9964.91  
0.02            0.00          0.05             0.00             0.07               9964.98  
0.01            0.00          0.05             0.00             0.06               9965.04  
0.02            0.00          0.05             0.00             0.07               9965.11  
0.01            0.00          0.05             0.00             0.06               9965.17  
0.01            0.00          0.05             0.00             0.06               9965.23  
0.02            0.00          0.05             0.00             0.07               9965.30  
0.02            0.00          0.05             0.00             0.07               9965.37  
0.02            0.00          0.05             0.00             0.07               9965.44  
0.02            0.00          0.03             0.00             0.05               9965.49  
0.01            0.00          0.03             0.00             0.04               9965.53  
0.01            0.00          0.03             0.00             0.04               9965.57  
0.01            0.00          0.02             0.00             0.03               9965.60  
0.01            0.00          0.02             0.00             0.03               9965.63  
0.02            0.00          0.25             0.00             0.27               9965.90  
0.02            0.00          0.03             0.00             0.05               9965.95  
0.01            0.00          0.03             0.00             0.04               9965.99  
0.01            0.00          0.03             0.00             0.04               9966.03  
0.01            0.00          0.03             0.00             0.04               9966.07  
0.01            0.00          0.03             0.00             0.04               9966.11  
0.01            0.00          0.03             0.00             0.04               9966.15  
0.01            0.00          0.03             0.00             0.04               9966.19  
0.01            0.00          0.03             0.00             0.04               9966.23  
0.01            0.00          0.03             0.00             0.04               9966.27  
0.01            0.00          0.02             0.00             0.03               9966.30  
0.01            0.00          0.03             0.00             0.04               9966.34  
0.01            0.00          0.03             0.00             0.04               9966.38  
0.01            0.00          0.02             0.00             0.03               9966.41  
0.02            0.00          0.02             0.00             0.04               9966.45  
0.01            0.00          0.03             0.00             0.04               9966.49  
0.01            0.00          0.03             0.00             0.04               9966.53  
0.01            0.00          0.03             0.00             0.04               9966.57  
0.01            0.00          0.25             0.00             0.26               9966.83  
0.02            0.00          0.03             0.00             0.05               9966.88  
0.01            0.00          0.03             0.00             0.04               9966.92  
0.01            0.00          0.03             0.00             0.04               9966.96  
0.01            0.00          0.03             0.00             0.04               9967.00  
0.01            0.00          0.03             0.00             0.04               9967.04  
0.01            0.00          0.02             0.00             0.03               9967.07  
0.01            0.00          0.03             0.00             0.04               9967.11  
0.01            0.00          0.02             0.00             0.03               9967.14  
0.01            0.00          0.03             0.00             0.04               9967.18  
0.01            0.00          0.03             0.00             0.04               9967.22  
0.01            0.00          0.03             0.00             0.04               9967.26  
0.01            0.00          0.02             0.00             0.03               9967.29  
0.02            0.00          0.03             0.00             0.05               9967.34  
0.02            0.00          0.03             0.00             0.05               9967.39  
0.01            0.00          0.03             0.00             0.04               9967.43  
0.01            0.00          0.03             0.00             0.04               9967.47  
0.01            0.00          0.02             0.00             0.03               9967.50  
0.01            0.00          0.24             0.00             0.25               9967.75  
0.02            0.00          0.02             0.00             0.04               9967.79  
0.01            0.00          0.03             0.00             0.04               9967.83  
0.01            0.00          0.03             0.00             0.04               9967.87  
0.01            0.00          0.03             0.00             0.04               9967.91  
0.01            0.00          0.03             0.00             0.04               9967.95  
0.01            0.00          0.03             0.00             0.04               9967.99  
0.01            0.00          0.03             0.00             0.04               9968.03  
0.01            0.00          0.03             0.00             0.04               9968.07  
0.01            0.00          0.03             0.00             0.04               9968.11  
0.01            0.00          0.24             0.00             0.25               9968.36  
0.01            0.00          0.03             0.00             0.04               9968.40  
0.02            0.00          0.03             0.00             0.05               9968.45  
0.01            0.00          0.03             0.00             0.04               9968.49  
0.01            0.00          0.03             0.00             0.04               9968.53  
0.01            0.00          0.03             0.00             0.04               9968.57  
0.01            0.00          0.03             0.00             0.04               9968.61  
0.01            0.00          0.03             0.00             0.04               9968.65  
0.01            0.00          0.23             0.00             0.24               9968.89  
0.01            0.00          0.03             0.00             0.04               9968.93  
0.01            0.00          0.03             0.00             0.04               9968.97  
0.01            0.00          0.03             0.00             0.04               9969.01  
0.01            0.00          0.03             0.00             0.04               9969.05  
0.01            0.00          0.23             0.00             0.24               9969.29  
0.01            0.00          0.03             0.00             0.04               9969.33  
0.01            0.00          0.03             0.00             0.04               9969.37  
0.01            0.00          0.03             0.00             0.04               9969.41  
0.01            0.00          0.02             0.00             0.03               9969.44  
0.01            0.00          0.03             0.00             0.04               9969.48  
0.01            0.00          0.02             0.00             0.03               9969.51  
0.02            0.00          0.03             0.00             0.05               9969.56  
0.01            0.00          0.03             0.00             0.04               9969.60  
0.01            0.00          0.24             0.00             0.25               9969.85  
0.01            0.00          0.02             0.00             0.03               9969.88  
0.01            0.00          0.03             0.00             0.04               9969.92  
0.01            0.00          0.25             0.00             0.26               9970.18  
0.01            0.00          0.24             0.00             0.25               9970.43  
0.02            0.00          0.25             0.00             0.27               9970.70  
0.02            0.00          0.23             0.00             0.25               9970.95  
0.02            0.00          0.23             0.00             0.25               9971.20  
0.01            0.00          0.24             0.00             0.25               9971.45  
0.01            0.00          0.25             0.00             0.26               9971.71  
0.02            0.00          0.24             0.00             0.26               9971.97  
0.01            0.00          0.21             0.00             0.22               9972.19  
0.01            0.00          0.20             0.00             0.21               9972.40  
0.01            0.00          0.25             0.00             0.26               9972.66  
0.02            0.00          0.03             0.00             0.05               9972.71  
0.01            0.00          0.03             0.00             0.04               9972.75  
0.01            0.00          0.03             0.00             0.04               9972.79  
0.01            0.00          0.03             0.00             0.04               9972.83  
0.01            0.00          0.03             0.00             0.04               9972.87  
0.01            0.00          0.03             0.00             0.04               9972.91  
0.01            0.00          0.02             0.00             0.03               9972.94  
0.01            0.00          0.02             0.00             0.03               9972.97  
0.01            0.00          0.03             0.00             0.04               9973.01  
0.01            0.00          0.03             0.00             0.04               9973.05  
0.01            0.00          0.02             0.00             0.03               9973.08  
0.01            0.00          0.02             0.00             0.03               9973.11  
0.01            0.00          0.02             0.00             0.03               9973.14  
0.01            0.00          0.02             0.00             0.03               9973.17  
0.01            0.00          0.03             0.00             0.04               9973.21  
0.01            0.00          0.03             0.00             0.04               9973.25  
0.01            0.00          0.02             0.00             0.03               9973.28  
0.01            0.00          0.03             0.00             0.04               9973.32  
0.01            0.00          0.02             0.00             0.03               9973.35  
0.01            0.00          0.02             0.00             0.03               9973.38  
0.01            0.00          0.03             0.00             0.04               9973.42  
