Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            62.09         0.00             0.00             62.09              1294.83  
0.33            0.00          0.06             0.00             0.39               1295.22  
0.00            0.00          0.03             0.00             0.03               1295.25  
0.00            0.00          0.02             0.00             0.02               1295.27  
0.02            0.00          0.04             0.00             0.06               1295.33  
0.02            0.00          0.03             0.00             0.05               1295.38  
0.00            0.00          0.02             0.00             0.02               1295.40  
0.02            0.00          0.06             0.00             0.08               1295.48  
0.02            0.00          0.06             0.00             0.08               1295.56  
0.00            0.00          0.02             0.00             0.02               1295.58  
0.00            0.00          0.02             0.00             0.02               1295.60  
0.02            0.00          0.03             0.00             0.05               1295.65  
0.00            0.00          0.02             0.00             0.02               1295.67  
0.02            0.00          0.04             0.00             0.06               1295.73  
0.00            0.00          0.02             0.00             0.02               1295.75  
0.00            0.00          0.01             0.00             0.01               1295.76  
0.00            0.00          0.02             0.00             0.02               1295.78  
0.00            0.00          0.02             0.00             0.02               1295.80  
0.00            0.00          0.01             0.00             0.01               1295.81  
0.00            0.00          0.01             0.00             0.01               1295.82  
0.00            0.00          0.01             0.00             0.01               1295.83  
0.00            0.00          0.01             0.00             0.01               1295.84  
0.00            0.00          0.01             0.00             0.01               1295.85  
0.00            0.00          0.01             0.00             0.01               1295.86  
0.00            0.00          0.01             0.00             0.01               1295.87  
0.01            0.00          0.01             0.00             0.02               1295.89  
0.01            0.00          0.04             0.00             0.05               1295.94  
0.01            0.00          0.01             0.00             0.02               1295.96  
0.00            0.00          0.01             0.00             0.01               1295.97  
0.00            0.00          0.01             0.00             0.01               1295.98  
0.00            0.00          0.01             0.00             0.01               1295.99  
0.00            0.00          0.01             0.00             0.01               1296.00  
0.00            0.00          0.01             0.00             0.01               1296.01  
0.00            0.00          0.01             0.00             0.01               1296.02  
0.00            0.00          0.01             0.00             0.01               1296.03  
0.00            0.00          0.01             0.00             0.01               1296.04  
0.00            0.00          0.01             0.00             0.01               1296.05  
0.00            0.00          0.01             0.00             0.01               1296.06  
0.00            0.00          0.01             0.00             0.01               1296.07  
0.00            0.00          0.01             0.00             0.01               1296.08  
0.00            0.00          0.01             0.00             0.01               1296.09  
0.00            0.00          0.01             0.00             0.01               1296.10  
0.00            0.00          0.01             0.00             0.01               1296.11  
0.00            0.00          0.01             0.00             0.01               1296.12  
0.00            0.00          0.02             0.00             0.02               1296.14  
0.00            0.00          0.01             0.00             0.01               1296.15  
0.00            0.00          0.02             0.00             0.02               1296.17  
0.01            0.00          0.01             0.00             0.02               1296.19  
0.00            0.00          0.01             0.00             0.01               1296.20  
0.00            0.00          0.01             0.00             0.01               1296.21  
0.00            0.00          0.01             0.00             0.01               1296.22  
0.01            0.00          0.00             0.00             0.01               1296.23  
0.00            0.00          0.01             0.00             0.01               1296.24  
0.00            0.00          0.01             0.00             0.01               1296.25  
0.00            0.00          0.01             0.00             0.01               1296.26  
0.00            0.00          0.01             0.00             0.01               1296.27  
0.00            0.00          0.01             0.00             0.01               1296.28  
0.00            0.00          0.01             0.00             0.01               1296.29  
0.00            0.00          0.01             0.00             0.01               1296.30  
0.00            0.00          0.01             0.00             0.01               1296.31  
0.00            0.00          0.01             0.00             0.01               1296.32  
0.00            0.00          0.01             0.00             0.01               1296.33  
0.00            0.00          0.01             0.00             0.01               1296.34  
0.00            0.00          0.00             0.07             0.07               1296.41  
