Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.31          0.00             0.00             3.31               76.98    
0.10            0.00          0.02             0.00             0.12               77.10    
0.02            0.00          0.01             0.00             0.03               77.13    
0.02            0.00          0.01             0.00             0.03               77.16    
0.02            0.00          0.01             0.00             0.03               77.19    
0.02            0.00          0.01             0.00             0.03               77.22    
0.02            0.00          0.01             0.00             0.03               77.25    
0.02            0.00          0.01             0.00             0.03               77.28    
0.02            0.00          0.01             0.00             0.03               77.31    
0.00            0.00          0.02             0.00             0.02               77.33    
0.02            0.00          0.00             0.00             0.02               77.35    
0.02            0.00          0.00             0.00             0.02               77.37    
0.00            0.00          0.02             0.00             0.02               77.39    
0.02            0.00          0.00             0.00             0.02               77.41    
0.00            0.00          0.02             0.00             0.02               77.43    
0.01            0.00          0.00             0.00             0.01               77.44    
0.00            0.00          0.02             0.00             0.02               77.46    
0.01            0.00          0.00             0.00             0.01               77.47    
0.02            0.00          0.00             0.00             0.02               77.49    
0.02            0.00          0.00             0.00             0.02               77.51    
0.02            0.00          0.00             0.00             0.02               77.53    
0.00            0.00          0.00             0.16             0.16               77.69    
