Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            4.54          0.00             0.00             4.54               101.98   
0.09            0.00          0.02             0.00             0.11               102.09   
0.02            0.00          0.01             0.00             0.03               102.12   
0.02            0.00          0.01             0.00             0.03               102.15   
0.02            0.00          0.01             0.00             0.03               102.18   
0.02            0.00          0.01             0.00             0.03               102.21   
0.02            0.00          0.01             0.00             0.03               102.24   
0.02            0.00          0.00             0.00             0.02               102.26   
0.02            0.00          0.00             0.00             0.02               102.28   
0.02            0.00          0.00             0.00             0.02               102.30   
0.02            0.00          0.00             0.00             0.02               102.32   
0.02            0.00          0.01             0.00             0.03               102.35   
0.02            0.00          0.00             0.00             0.02               102.37   
0.02            0.00          0.00             0.00             0.02               102.39   
0.02            0.00          0.00             0.00             0.02               102.41   
0.02            0.00          0.00             0.00             0.02               102.43   
0.02            0.00          0.00             0.00             0.02               102.45   
0.02            0.00          0.00             0.00             0.02               102.47   
0.02            0.00          0.00             0.00             0.02               102.49   
0.00            0.00          0.00             0.11             0.11               102.60   
