Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            3.83          0.00             0.00             3.83               86.41    
0.10            0.00          0.02             0.00             0.12               86.53    
0.02            0.00          0.01             0.00             0.03               86.56    
0.02            0.00          0.01             0.00             0.03               86.59    
0.02            0.00          0.01             0.00             0.03               86.62    
0.02            0.00          0.01             0.00             0.03               86.65    
0.02            0.00          0.01             0.00             0.03               86.68    
0.02            0.00          0.01             0.00             0.03               86.71    
0.02            0.00          0.01             0.00             0.03               86.74    
0.02            0.00          0.00             0.00             0.02               86.76    
0.02            0.00          0.00             0.00             0.02               86.78    
0.02            0.00          0.00             0.00             0.02               86.80    
0.03            0.00          0.00             0.00             0.03               86.83    
0.02            0.00          0.00             0.00             0.02               86.85    
0.02            0.00          0.00             0.00             0.02               86.87    
0.02            0.00          0.00             0.00             0.02               86.89    
0.02            0.00          0.00             0.00             0.02               86.91    
0.02            0.00          0.00             0.00             0.02               86.93    
0.02            0.00          0.00             0.00             0.02               86.95    
0.02            0.00          0.00             0.00             0.02               86.97    
0.02            0.00          0.00             0.00             0.02               86.99    
0.00            0.00          0.00             0.14             0.14               87.13    
