Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            89.24         0.00             0.00             89.24              1826.17  
0.11            0.00          0.09             0.00             0.20               1826.37  
0.02            0.00          0.06             0.00             0.08               1826.45  
0.02            0.00          0.03             0.00             0.05               1826.50  
0.02            0.00          0.03             0.00             0.05               1826.55  
0.02            0.00          0.03             0.00             0.05               1826.60  
0.02            0.00          0.03             0.00             0.05               1826.65  
0.02            0.00          0.03             0.00             0.05               1826.70  
0.02            0.00          0.05             0.00             0.07               1826.77  
0.02            0.00          0.03             0.00             0.05               1826.82  
0.02            0.00          0.06             0.00             0.08               1826.90  
0.02            0.00          0.08             0.00             0.10               1827.00  
0.02            0.00          0.02             0.00             0.04               1827.04  
0.01            0.00          0.04             0.00             0.05               1827.09  
0.01            0.00          0.01             0.00             0.02               1827.11  
0.01            0.00          0.01             0.00             0.02               1827.13  
0.01            0.00          0.01             0.00             0.02               1827.15  
0.01            0.00          0.01             0.00             0.02               1827.17  
0.01            0.00          0.01             0.00             0.02               1827.19  
0.01            0.00          0.01             0.00             0.02               1827.21  
0.01            0.00          0.01             0.00             0.02               1827.23  
0.01            0.00          0.01             0.00             0.02               1827.25  
0.01            0.00          0.02             0.00             0.03               1827.28  
0.01            0.00          0.01             0.00             0.02               1827.30  
0.01            0.00          0.02             0.00             0.03               1827.33  
0.02            0.00          0.01             0.00             0.03               1827.36  
0.01            0.00          0.01             0.00             0.02               1827.38  
0.01            0.00          0.01             0.00             0.02               1827.40  
0.01            0.00          0.02             0.00             0.03               1827.43  
0.01            0.00          0.01             0.00             0.02               1827.45  
0.01            0.00          0.01             0.00             0.02               1827.47  
0.01            0.00          0.01             0.00             0.02               1827.49  
0.01            0.00          0.02             0.00             0.03               1827.52  
0.02            0.00          0.01             0.00             0.03               1827.55  
0.01            0.00          0.04             0.00             0.05               1827.60  
0.01            0.00          0.01             0.00             0.02               1827.62  
0.01            0.00          0.04             0.00             0.05               1827.67  
0.01            0.00          0.01             0.00             0.02               1827.69  
0.01            0.00          0.01             0.00             0.02               1827.71  
0.01            0.00          0.02             0.00             0.03               1827.74  
0.01            0.00          0.01             0.00             0.02               1827.76  
0.01            0.00          0.01             0.00             0.02               1827.78  
0.01            0.00          0.04             0.00             0.05               1827.83  
0.02            0.00          0.02             0.00             0.04               1827.87  
0.02            0.00          0.00             0.00             0.02               1827.89  
0.01            0.00          0.00             0.00             0.01               1827.90  
0.01            0.00          0.00             0.00             0.01               1827.91  
0.01            0.00          0.00             0.00             0.01               1827.92  
0.01            0.00          0.00             0.00             0.01               1827.93  
0.01            0.00          0.00             0.00             0.01               1827.94  
0.01            0.00          0.00             0.00             0.01               1827.95  
0.02            0.00          0.00             0.00             0.02               1827.97  
0.01            0.00          0.00             0.00             0.01               1827.98  
0.01            0.00          0.00             0.00             0.01               1827.99  
0.01            0.00          0.00             0.00             0.01               1828.00  
0.01            0.00          0.00             0.00             0.01               1828.01  
0.01            0.00          0.00             0.00             0.01               1828.02  
0.01            0.00          0.00             0.00             0.01               1828.03  
0.01            0.00          0.00             0.00             0.01               1828.04  
0.01            0.00          0.00             0.00             0.01               1828.05  
0.01            0.00          0.00             0.00             0.01               1828.06  
0.01            0.00          0.00             0.00             0.01               1828.07  
0.01            0.00          0.00             0.00             0.01               1828.08  
0.01            0.00          0.00             0.00             0.01               1828.09  
0.01            0.00          0.00             0.00             0.01               1828.10  
0.00            0.00          0.00             0.13             0.13               1828.23  
