Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            2.07          0.00             0.00             2.07               48.60    
0.08            0.00          0.03             0.00             0.11               48.71    
0.02            0.00          0.01             0.00             0.03               48.74    
0.02            0.00          0.01             0.00             0.03               48.77    
0.02            0.00          0.01             0.00             0.03               48.80    
0.02            0.00          0.01             0.00             0.03               48.83    
0.02            0.00          0.00             0.00             0.02               48.85    
0.01            0.00          0.00             0.00             0.01               48.86    
0.01            0.00          0.00             0.00             0.01               48.87    
0.02            0.00          0.00             0.00             0.02               48.89    
0.00            0.00          0.00             0.07             0.07               48.96    
