Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            69.48         0.00             0.00             69.48              1433.63  
0.13            0.00          0.08             0.00             0.21               1433.84  
0.03            0.00          0.03             0.00             0.06               1433.90  
0.02            0.00          0.05             0.00             0.07               1433.97  
0.02            0.00          0.03             0.00             0.05               1434.02  
0.02            0.00          0.03             0.00             0.05               1434.07  
0.02            0.00          0.03             0.00             0.05               1434.12  
0.02            0.00          0.03             0.00             0.05               1434.17  
0.02            0.00          0.05             0.00             0.07               1434.24  
0.02            0.00          0.05             0.00             0.07               1434.31  
0.02            0.00          0.06             0.00             0.08               1434.39  
0.02            0.00          0.03             0.00             0.05               1434.44  
0.02            0.00          0.02             0.00             0.04               1434.48  
0.02            0.00          0.01             0.00             0.03               1434.51  
0.02            0.00          0.01             0.00             0.03               1434.54  
0.02            0.00          0.01             0.00             0.03               1434.57  
0.02            0.00          0.01             0.00             0.03               1434.60  
0.02            0.00          0.01             0.00             0.03               1434.63  
0.02            0.00          0.04             0.00             0.06               1434.69  
0.02            0.00          0.01             0.00             0.03               1434.72  
0.02            0.00          0.01             0.00             0.03               1434.75  
0.02            0.00          0.02             0.00             0.04               1434.79  
0.02            0.00          0.01             0.00             0.03               1434.82  
0.02            0.00          0.02             0.00             0.04               1434.86  
0.01            0.00          0.02             0.00             0.03               1434.89  
0.02            0.00          0.01             0.00             0.03               1434.92  
0.01            0.00          0.02             0.00             0.03               1434.95  
0.01            0.00          0.01             0.00             0.02               1434.97  
0.01            0.00          0.01             0.00             0.02               1434.99  
0.01            0.00          0.02             0.00             0.03               1435.02  
0.01            0.00          0.01             0.00             0.02               1435.04  
0.03            0.00          0.01             0.00             0.04               1435.08  
0.01            0.00          0.02             0.00             0.03               1435.11  
0.01            0.00          0.01             0.00             0.02               1435.13  
0.01            0.00          0.03             0.00             0.04               1435.17  
0.01            0.00          0.01             0.00             0.02               1435.19  
0.01            0.00          0.01             0.00             0.02               1435.21  
0.01            0.00          0.03             0.00             0.04               1435.25  
0.02            0.00          0.02             0.00             0.04               1435.29  
0.01            0.00          0.00             0.00             0.01               1435.30  
0.01            0.00          0.00             0.00             0.01               1435.31  
0.01            0.00          0.00             0.00             0.01               1435.32  
0.02            0.00          0.00             0.00             0.02               1435.34  
0.01            0.00          0.00             0.00             0.01               1435.35  
0.02            0.00          0.00             0.00             0.02               1435.37  
0.01            0.00          0.00             0.00             0.01               1435.38  
0.01            0.00          0.00             0.00             0.01               1435.39  
0.01            0.00          0.00             0.00             0.01               1435.40  
0.01            0.00          0.00             0.00             0.01               1435.41  
0.02            0.00          0.00             0.00             0.02               1435.43  
0.01            0.00          0.00             0.00             0.01               1435.44  
0.01            0.00          0.00             0.00             0.01               1435.45  
0.01            0.00          0.00             0.00             0.01               1435.46  
0.01            0.00          0.00             0.00             0.01               1435.47  
0.01            0.00          0.00             0.00             0.01               1435.48  
0.02            0.00          0.00             0.00             0.02               1435.50  
0.01            0.00          0.00             0.00             0.01               1435.51  
0.00            0.00          0.00             0.12             0.12               1435.63  
