Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            83.12         0.00             0.00             83.12              2195.83  
0.28            0.00          0.23             0.00             0.51               2196.34  
0.04            0.00          0.09             0.00             0.13               2196.47  
0.02            0.00          0.20             0.00             0.22               2196.69  
0.02            0.00          0.07             0.00             0.09               2196.78  
0.02            0.00          0.13             0.00             0.15               2196.93  
0.02            0.00          0.14             0.00             0.16               2197.09  
0.02            0.00          0.12             0.00             0.14               2197.23  
0.02            0.00          0.14             0.00             0.16               2197.39  
0.02            0.00          0.06             0.00             0.08               2197.47  
0.02            0.00          0.16             0.00             0.18               2197.65  
0.02            0.00          0.06             0.00             0.08               2197.73  
0.01            0.00          0.06             0.00             0.07               2197.80  
0.02            0.00          0.06             0.00             0.08               2197.88  
0.01            0.00          0.06             0.00             0.07               2197.95  
0.02            0.00          0.09             0.00             0.11               2198.06  
0.01            0.00          0.05             0.00             0.06               2198.12  
0.02            0.00          0.03             0.00             0.05               2198.17  
0.01            0.00          0.08             0.00             0.09               2198.26  
0.02            0.00          0.03             0.00             0.05               2198.31  
0.01            0.00          0.05             0.00             0.06               2198.37  
0.02            0.00          0.04             0.00             0.06               2198.43  
0.01            0.00          0.12             0.00             0.13               2198.56  
0.02            0.00          0.07             0.00             0.09               2198.65  
0.02            0.00          0.06             0.00             0.08               2198.73  
0.02            0.00          0.12             0.00             0.14               2198.87  
0.02            0.00          0.14             0.00             0.16               2199.03  
0.02            0.00          0.06             0.00             0.08               2199.11  
0.02            0.00          0.06             0.00             0.08               2199.19  
0.02            0.00          0.14             0.00             0.16               2199.35  
0.02            0.00          0.08             0.00             0.10               2199.45  
0.02            0.00          0.08             0.00             0.10               2199.55  
0.01            0.00          0.14             0.00             0.15               2199.70  
0.02            0.00          0.11             0.00             0.13               2199.83  
0.02            0.00          0.06             0.00             0.08               2199.91  
0.01            0.00          0.04             0.00             0.05               2199.96  
0.02            0.00          0.03             0.00             0.05               2200.01  
0.01            0.00          0.05             0.00             0.06               2200.07  
0.02            0.00          0.05             0.00             0.07               2200.14  
0.01            0.00          0.03             0.00             0.04               2200.18  
0.01            0.00          0.03             0.00             0.04               2200.22  
0.01            0.00          0.03             0.00             0.04               2200.26  
0.01            0.00          0.03             0.00             0.04               2200.30  
0.01            0.00          0.13             0.00             0.14               2200.44  
0.02            0.00          0.09             0.00             0.11               2200.55  
0.02            0.00          0.09             0.00             0.11               2200.66  
0.02            0.00          0.05             0.00             0.07               2200.73  
0.01            0.00          0.03             0.00             0.04               2200.77  
0.01            0.00          0.03             0.00             0.04               2200.81  
0.02            0.00          0.10             0.00             0.12               2200.93  
0.02            0.00          0.07             0.00             0.09               2201.02  
0.01            0.00          0.05             0.00             0.06               2201.08  
0.02            0.00          0.04             0.00             0.06               2201.14  
0.01            0.00          0.04             0.00             0.05               2201.19  
0.01            0.00          0.04             0.00             0.05               2201.24  
0.01            0.00          0.13             0.00             0.14               2201.38  
0.02            0.00          0.04             0.00             0.06               2201.44  
0.01            0.00          0.03             0.00             0.04               2201.48  
0.01            0.00          0.05             0.00             0.06               2201.54  
0.02            0.00          0.09             0.00             0.11               2201.65  
0.03            0.00          0.03             0.00             0.06               2201.71  
0.01            0.00          0.09             0.00             0.10               2201.81  
0.01            0.00          0.03             0.00             0.04               2201.85  
0.01            0.00          0.03             0.00             0.04               2201.89  
0.01            0.00          0.03             0.00             0.04               2201.93  
0.01            0.00          0.04             0.00             0.05               2201.98  
0.01            0.00          0.04             0.00             0.05               2202.03  
0.01            0.00          0.04             0.00             0.05               2202.08  
0.01            0.00          0.04             0.00             0.05               2202.13  
0.01            0.00          0.04             0.00             0.05               2202.18  
0.01            0.00          0.07             0.00             0.08               2202.26  
0.02            0.00          0.12             0.00             0.14               2202.40  
0.02            0.00          0.05             0.00             0.07               2202.47  
0.02            0.00          0.05             0.00             0.07               2202.54  
0.01            0.00          0.05             0.00             0.06               2202.60  
0.01            0.00          0.05             0.00             0.06               2202.66  
0.01            0.00          0.07             0.00             0.08               2202.74  
0.02            0.00          0.05             0.00             0.07               2202.81  
0.03            0.00          0.06             0.00             0.09               2202.90  
0.01            0.00          0.06             0.00             0.07               2202.97  
0.02            0.00          0.05             0.00             0.07               2203.04  
0.01            0.00          0.02             0.00             0.03               2203.07  
0.01            0.00          0.02             0.00             0.03               2203.10  
0.01            0.00          0.03             0.00             0.04               2203.14  
0.01            0.00          0.03             0.00             0.04               2203.18  
0.01            0.00          0.01             0.00             0.02               2203.20  
0.01            0.00          0.02             0.00             0.03               2203.23  
0.02            0.00          0.04             0.00             0.06               2203.29  
0.02            0.00          0.03             0.00             0.05               2203.34  
0.01            0.00          0.03             0.00             0.04               2203.38  
0.01            0.00          0.04             0.00             0.05               2203.43  
0.01            0.00          0.03             0.00             0.04               2203.47  
0.01            0.00          0.01             0.00             0.02               2203.49  
0.01            0.00          0.01             0.00             0.02               2203.51  
0.02            0.00          0.13             0.00             0.15               2203.66  
0.02            0.00          0.03             0.00             0.05               2203.71  
0.01            0.00          0.09             0.00             0.10               2203.81  
0.02            0.00          0.03             0.00             0.05               2203.86  
0.01            0.00          0.03             0.00             0.04               2203.90  
0.01            0.00          0.03             0.00             0.04               2203.94  
0.01            0.00          0.06             0.00             0.07               2204.01  
0.02            0.00          0.03             0.00             0.05               2204.06  
0.01            0.00          0.03             0.00             0.04               2204.10  
0.01            0.00          0.09             0.00             0.10               2204.20  
0.02            0.00          0.05             0.00             0.07               2204.27  
0.02            0.00          0.03             0.00             0.05               2204.32  
0.01            0.00          0.04             0.00             0.05               2204.37  
0.01            0.00          0.03             0.00             0.04               2204.41  
0.01            0.00          0.04             0.00             0.05               2204.46  
0.02            0.00          0.03             0.00             0.05               2204.51  
0.01            0.00          0.04             0.00             0.05               2204.56  
0.01            0.00          0.05             0.00             0.06               2204.62  
0.01            0.00          0.03             0.00             0.04               2204.66  
0.01            0.00          0.04             0.00             0.05               2204.71  
0.01            0.00          0.03             0.00             0.04               2204.75  
0.01            0.00          0.09             0.00             0.10               2204.85  
0.02            0.00          0.03             0.00             0.05               2204.90  
0.03            0.00          0.03             0.00             0.06               2204.96  
0.01            0.00          0.06             0.00             0.07               2205.03  
0.02            0.00          0.10             0.00             0.12               2205.15  
0.02            0.00          0.03             0.00             0.05               2205.20  
0.02            0.00          0.08             0.00             0.10               2205.30  
0.02            0.00          0.04             0.00             0.06               2205.36  
0.02            0.00          0.11             0.00             0.13               2205.49  
0.02            0.00          0.04             0.00             0.06               2205.55  
0.01            0.00          0.09             0.00             0.10               2205.65  
0.02            0.00          0.04             0.00             0.06               2205.71  
0.01            0.00          0.04             0.00             0.05               2205.76  
0.01            0.00          0.06             0.00             0.07               2205.83  
0.02            0.00          0.04             0.00             0.06               2205.89  
0.01            0.00          0.03             0.00             0.04               2205.93  
0.01            0.00          0.05             0.00             0.06               2205.99  
0.02            0.00          0.05             0.00             0.07               2206.06  
0.01            0.00          0.03             0.00             0.04               2206.10  
0.01            0.00          0.04             0.00             0.05               2206.15  
0.01            0.00          0.10             0.00             0.11               2206.26  
0.02            0.00          0.04             0.00             0.06               2206.32  
0.02            0.00          0.04             0.00             0.06               2206.38  
0.01            0.00          0.06             0.00             0.07               2206.45  
0.02            0.00          0.11             0.00             0.13               2206.58  
0.02            0.00          0.05             0.00             0.07               2206.65  
0.01            0.00          0.03             0.00             0.04               2206.69  
0.02            0.00          0.07             0.00             0.09               2206.78  
0.02            0.00          0.06             0.00             0.08               2206.86  
0.02            0.00          0.05             0.00             0.07               2206.93  
0.02            0.00          0.06             0.00             0.08               2207.01  
0.02            0.00          0.05             0.00             0.07               2207.08  
0.02            0.00          0.11             0.00             0.13               2207.21  
0.03            0.00          0.03             0.00             0.06               2207.27  
0.02            0.00          0.04             0.00             0.06               2207.33  
0.02            0.00          0.01             0.00             0.03               2207.36  
0.01            0.00          0.01             0.00             0.02               2207.38  
0.01            0.00          0.02             0.00             0.03               2207.41  
0.01            0.00          0.01             0.00             0.02               2207.43  
0.01            0.00          0.03             0.00             0.04               2207.47  
0.01            0.00          0.02             0.00             0.03               2207.50  
0.01            0.00          0.01             0.00             0.02               2207.52  
0.01            0.00          0.02             0.00             0.03               2207.55  
0.01            0.00          0.01             0.00             0.02               2207.57  
0.01            0.00          0.01             0.00             0.02               2207.59  
0.01            0.00          0.02             0.00             0.03               2207.62  
0.01            0.00          0.01             0.00             0.02               2207.64  
0.01            0.00          0.01             0.00             0.02               2207.66  
0.01            0.00          0.02             0.00             0.03               2207.69  
0.01            0.00          0.01             0.00             0.02               2207.71  
0.01            0.00          0.01             0.00             0.02               2207.73  
0.02            0.00          0.08             0.00             0.10               2207.83  
0.02            0.00          0.07             0.00             0.09               2207.92  
0.02            0.00          0.04             0.00             0.06               2207.98  
0.01            0.00          0.02             0.00             0.03               2208.01  
0.01            0.00          0.02             0.00             0.03               2208.04  
0.01            0.00          0.03             0.00             0.04               2208.08  
0.01            0.00          0.01             0.00             0.02               2208.10  
0.02            0.00          0.01             0.00             0.03               2208.13  
0.01            0.00          0.01             0.00             0.02               2208.15  
0.02            0.00          0.03             0.00             0.05               2208.20  
0.02            0.00          0.01             0.00             0.03               2208.23  
0.01            0.00          0.04             0.00             0.05               2208.28  
0.01            0.00          0.03             0.00             0.04               2208.32  
0.02            0.00          0.01             0.00             0.03               2208.35  
0.01            0.00          0.08             0.00             0.09               2208.44  
0.02            0.00          0.01             0.00             0.03               2208.47  
0.01            0.00          0.01             0.00             0.02               2208.49  
0.01            0.00          0.01             0.00             0.02               2208.51  
0.01            0.00          0.03             0.00             0.04               2208.55  
0.01            0.00          0.01             0.00             0.02               2208.57  
0.01            0.00          0.06             0.00             0.07               2208.64  
0.02            0.00          0.04             0.00             0.06               2208.70  
0.01            0.00          0.04             0.00             0.05               2208.75  
0.01            0.00          0.03             0.00             0.04               2208.79  
0.02            0.00          0.03             0.00             0.05               2208.84  
0.02            0.00          0.03             0.00             0.05               2208.89  
