Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            8.04          0.00             0.00             8.04               8.04     
0.02            0.00          0.00             0.00             0.46               8.50     
0.06            0.00          0.00             0.00             0.06               8.56     
0.01            0.00          0.00             0.00             0.08               8.64     
0.00            0.00          0.00             0.00             0.04               8.68     
0.01            0.00          0.00             0.25             0.31               8.99     
