Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            7.35          0.00             0.00             7.35               7.35     
0.02            0.00          0.00             0.00             0.48               7.83     
0.01            0.00          0.00             0.00             0.07               7.90     
0.00            0.00          0.00             0.00             0.05               7.95     
0.01            0.00          0.00             0.00             0.05               8.00     
0.01            0.00          0.00             0.25             0.32               8.32     
