NumberStatement	NumberMCI	NumberRRI	MCISolvingRoundAverage	TotalTimeAverage	MCILabelsTimeAverage	MCIOperationsTimeAverage	RRIOperationsTimeAverage	RRIILPSolvingTimeAverage
1	1	1	32	34.59	25.20	7.04	0.50	1.85
2	4	2	108	46.96	35.81	9.07	0.44	1.65
3	9	3	250	70.32	50.25	17.59	0.69	1.78
4	16	4	482	103.93	69.89	31.08	1.24	1.73
5	25	5	825	188.89	121.89	61.86	3.03	2.10
6	36	6	1296	323.69	193.80	120.95	6.50	2.43
7	49	7	1918	463.65	237.62	210.45	12.52	3.05
8	64	8	2712	770.34	341.78	391.03	33.32	4.21
9	81	9	3701	1126.27	422.67	649.79	48.17	5.63
10	100	10	4903	1615.99	562.01	959.71	86.41	7.86
11	121	11	6322	2370.36	730.76	1494.95	133.58	11.07
12	144	12	8020	3506.51	1111.48	2199.89	179.61	15.52
13	169	13	9987	4806.68	1422.80	3101.67	261.00	21.21
14	196	14	12254	6434.19	1609.89	4437.74	357.41	29.15
15	225	15	14837	8666.71	1925.47	6086.55	615.44	39.26
