4.0596	1.3901	0.00319	0.00304
6.1658	1.5327	0.00302	0.00304
7.0163	1.5502	0.00371	0.00326
4.2581	1.4403	0.00377	0.00346
32.4377	4.8968	0.00372	0.00347
3.815	1.5613	0.00381	0.00347
5.876	1.453	0.00394	0.00352
6.1706	1.9755	0.00389	0.00354
40.3236	8.266	0.0039	0.00356
3.3262	1.4202	0.00401	0.00359
4.2516	1.5862	0.00367	0.00363
3.6271	1.88	0.00416	0.0037
13.7249	2.8646	0.0041	0.00373
4.1637	1.3366	0.00434	0.00381
3.4025	1.3533	0.00406	0.00386
3.8213	1.2977	0.00417	0.00387
34.183	4.8791	0.00415	0.00388
10.0833	2.6325	0.00415	0.00391
3.3961	1.331	0.00402	0.00391
5.2712	1.5582	0.00558	0.004
701.2439	1761.0809	0.00493	0.00404
1.6217	1.6959	0.00462	0.00405
1.9966	1.2829	0.00443	0.00415
3.46	1.4217	0.0045	0.00426
5.4192	2.0167	0.00401	0.00435
2.0838	1.2799	0.00486	0.00435
3.283	1.3851	0.00479	0.00438
3.6001	1.4003	0.00452	0.00438
4.354	1.6635	0.00432	0.0044
3.9317	1.369	0.00446	0.00443
8.4692	1.9717	0.00407	0.00448
5.3007	1.7716	0.00675	0.00475
3.187	1.8206	0.00693	0.00477
3.3205	1.5043	0.00735	0.00479
1.8272	1.3463	0.00671	0.00483
3.4073	1.7713	0.00912	0.00484
11.8537	3.3954	0.00704	0.00485
2.0996	1.7689	0.0072	0.00489
6.0697	2.063	0.00749	0.00491
6.1219	2.051	0.00708	0.00491
6.364	2.022	0.009	0.00491
3.3264	2.1038	0.00911	0.00491
28.677	5.469	0.00843	0.00491
5.3732	2.0757	0.00679	0.00493
3.2899	1.7918	0.00687	0.00494
3.2431	1.8228	0.00871	0.00494
1.8336	1.5915	0.00741	0.00495
3.1368	1.67	0.0072	0.00495
6.4041	1.539	0.00944	0.00495
6.3322	1.9774	0.0073	0.005
6.3233	1.674	0.00787	0.005
6.0442	2.0438	0.00737	0.00501
5.6681	1.9567	0.00789	0.00501
5.3332	2.0347	0.00703	0.00502
5.2728	1.54	0.0072	0.00502
3.402	1.6843	0.00742	0.00502
4.5615	1.6607	0.00661	0.00502
5.89	1.9476	0.00707	0.00503
27.2673	12.5598	0.00703	0.00506
6.5498	1.4735	0.00692	0.00507
4.0307	1.3584	0.00813	0.00507
5.3037	1.615	0.00709	0.00508
5.3271	2.0362	0.00707	0.0051
3.5388	1.7117	0.00914	0.00512
5.2482	1.7638	0.00731	0.00513
5.2428	2.039	0.00734	0.00514
3.2686	1.7375	0.00661	0.00514
5.3851	1.9985	0.00746	0.00515
5.3248	1.9589	0.00721	0.00515
1.7885	1.7138	0.00765	0.00515
6.6838	2.0636	0.00697	0.00515
4.0025	1.8692	0.00706	0.00515
3.2813	1.7881	0.00709	0.00517
240.9164	131.8378	0.00917	0.00517
3.3202	1.8808	0.00946	0.00518
3.7656	1.8226	0.00714	0.00518
2.2959	1.7091	0.009	0.00518
35.338	5.0817	0.00806	0.00519
6.5225	1.9986	0.00714	0.00521
5.1912	1.8956	0.00726	0.00521
5.7737	1.5333	0.00728	0.00521
3.7397	1.3268	0.00692	0.00521
3.7877	1.375	0.00831	0.00521
8.2585	2.3065	0.00812	0.00521
7.1508	2.1327	0.00863	0.00522
7.2656	2.1427	0.00724	0.00523
3600	116.354	0.00699	0.00523
3.4651	1.8512	0.00852	0.00523
13.0204	4.9907	0.00876	0.00524
11.9994	3.8224	0.00728	0.00525
5.3256	1.8937	0.00742	0.00525
6.8978	2.0576	0.00748	0.00525
5.348	1.8715	0.00748	0.00526
6.2861	1.5955	0.00706	0.00526
3.5016	1.862	0.00749	0.00526
3.5925	1.8173	0.00722	0.00527
8.2004	3.1228	0.00718	0.00527
3.2205	1.7287	0.00768	0.00528
3.1233	1.3397	0.00882	0.00528
6.5938	1.9125	0.00748	0.00529
3.6209	1.9058	0.0072	0.00529
20.926	10.9136	0.00706	0.00529
7.6081	2.5524	0.00834	0.00529
5.5627	2.0759	0.00834	0.00529
8.3379	1.923	0.00935	0.00531
5.6058	1.5829	0.00864	0.00531
1.7824	1.6213	0.00762	0.00532
