2.0388	0.6428	0.00919	0.01051
0.591	0.5321	0.02098	0.0182
2.2858	0.6957	0.0094	0.00839
1.9541	0.6226	0.00728	0.00638
1.7255	0.523	0.00298	0.00256
4.0528	0.7763	0.00251	0.00229
0.5978	0.565	0.00315	0.00274
1.7261	0.4778	0.00308	0.0025
6.5055	0.9709	0.01465	0.01114
0.7776	0.4914	0.00272	0.00328
1.6992	0.6027	0.00272	0.00241
4.6693	0.8831	0.00287	0.00258
2.8262	0.6439	0.00253	0.00221
20.9963	3.7171	0.00254	0.00223
297.1202	1267.4261	0.00298	0.00273
19.1748	2.43	0.00282	0.00254
17.7326	2.6536	0.00233	0.00207
2.2827	0.6285	0.00287	0.0025
1.6052	0.6226	0.00274	0.00238
1.8038	0.6314	0.00325	0.00301
1.688	0.5391	0.00249	0.00226
0.9473	0.4913	0.00304	0.00279
2.0905	0.566	0.00174	0.00173
2.9554	0.6659	0.00176	0.00162
2.6248	0.5897	0.00278	0.00252
10.6817	1.6435	0.00268	0.0024
0.6923	0.4825	0.00315	0.00284
1.4326	0.52	0.00326	0.00291
1.891	0.5555	0.00276	0.00249
2.2402	0.6173	0.00343	0.00304
2.1833	0.4753	0.00314	0.00286
2.1627	0.6149	0.00313	0.00271
2.2629	0.5888	0.00319	0.00302
2.0967	0.6301	0.109	0.07035
5.3839	0.7253	0.00888	0.01037
3.0438	0.5475	0.00559	0.00485
2.7736	0.7365	0.0101	0.00972
5.9967	1.0263	0.00273	0.00249
3.2268	0.7178	0.00335	0.00296
3.0079	0.694	0.00222	0.00207
2.5193	0.6355	0.00632	0.00561
1.9339	0.8339	0.00233	0.00214
1.5271	0.634	0.011	0.00703
3.0932	0.6706	0.00241	0.00216
1.5554	0.57	0.00513	0.00452
1.9259	0.7068	0.00228	0.00209
1.6798	0.7945	0.00595	0.00959
1.88	0.6637	0.00489	0.00436
1.5951	0.6965	0.00473	0.00426
1.9406	0.665	0.00507	0.00446
1.5267	0.673	0.0023	0.00201
1.9571	0.6866	0.00625	0.00407
1.589	0.6882	0.01114	0.00828
1.8618	0.7264	0.01014	0.00897
1.8188	0.7506	0.01578	0.01181
1.9947	0.6281	0.00824	0.00664
2.7348	0.589	0.00726	0.0059
3.3314	0.649	0.00652	0.00514
2.5917	0.6974	0.01441	0.01133
2.6928	0.6234	0.00518	0.00498
1.6986	0.5367	0.00492	0.00402
10.5531	2.1001	0.00516	0.00385
2.0053	0.6304	0.00627	0.00347
0.613	0.6126	0.00629	0.00357
3.2874	0.6937	0.00488	0.00351
4.2423	0.7095	0.00481	0.00357
4.0875	0.7229	0.00534	0.00507
0.5033	0.5247	0.00676	0.00535
0.5333	0.5894	0.00555	0.00428
0.676	0.5031	0.0048	0.00364
3.7422	0.7864	0.00636	0.00349
3.0641	0.7329	0.00511	0.00392
3.3888	0.6784	0.00498	0.00372
3.3403	0.7233	0.00504	0.00366
3.0834	0.6431	0.00465	0.00344
3.1456	0.6204	0.00483	0.00369
3.294	0.7684	0.00526	0.00377
3.3054	0.694	0.00507	0.00386
3.5023	0.7865	0.00526	0.00401
0.7732	0.4475	0.00524	0.00404
1.8907	0.4603	0.00469	0.00341
3.8565	0.7671	0.00461	0.00332
1.4971	0.6494	0.00478	0.00383
3.9793	0.6144	0.00494	0.00362
0.6314	0.5058	0.00524	0.00412
3.1302	0.6171	0.00502	0.00384
3.1254	0.6186	0.00495	0.00372
9.1912	2.3488	0.01499	0.01272
2.9971	0.6494	0.0051	0.00379
3.2904	0.6871	0.00493	0.00392
0.5699	0.454	0.00474	0.00355
2.7104	0.6551	0.00553	0.00427
1.8664	0.5699	0.00503	0.00378
3.9696	0.7313	0.00569	0.00431
1.7424	0.6087	0.00555	0.00428
4.8362	0.7732	0.00583	0.00439
2.904	0.5599	0.00508	0.00392
7.1819	1.4824	0.00472	0.00354
2.8172	0.6825	0.00655	0.0049
3.05	0.6712	0.00507	0.00389
3.6092	0.7373	0.00453	0.0035
3.3726	0.7456	0.00465	0.00339
3.0433	0.741	0.00664	0.00403
4.0337	0.7061	0.00541	0.0041
3.7946	0.6454	0.00465	0.0035
0.7476	0.5408	0.00456	0.00336
3.716	0.6675	0.00523	0.00407
3.0696	0.7973	0.00503	0.00377
3.1545	0.6438	0.00534	0.00412
3.2388	0.701	0.005	0.00375
3.7989	0.5895	0.00476	0.0035
3.5048	0.6144	0.00568	0.00443
2.9624	0.6781	0.00788	0.00486
3.0179	0.7394	0.00494	0.00371
4.0865	0.6736	0.00642	0.00349
4.0779	0.7884	0.00488	0.00358
2.4814	0.5891	0.00468	0.00349
1.6216	0.5028	0.00591	0.00446
0.5696	0.5149	0.00594	0.00684
4.2237	0.5692	0.00464	0.00351
3.3913	0.7501	0.00512	0.00372
