idx	BR	AR	AM	AI
0	70.32	64.22	60.38	44.15
1	323.69	305.01	233.17	101.98
2	1126.27	1066.97	599.71	259.67
3	3506.51	3252.35	1503.93	533.60
4	8666.71	8166.20	2875.39	1225.84
