1	19481.25	5844.375	1948.125	147.5
2	10791.66667	3237.5	1079.166667	81.66666667
3	9284.375	2785.3125	928.4375	77.5
4	10189	3056.7	1018.9	117.9
5	11162.5	3348.75	1116.25	61.45833333
6	10323.46939	3097.040816	1032.346939	64.43877551
7	9495.703125	2848.710938	949.5703125	70.625
8	11215.4321	3364.62963	1121.54321	89.07407407
9	10899.75	3269.925	1089.975	104.125
10	11384.71074	3415.413223	1138.471074	117.7892562
11	12914.23611	3874.270833	1291.423611	159.2013889
12	16867.89941	5060.369822	1686.789941	190.1627219
13	19138.13776	5741.441327	1913.813776	198.3928571
14	17829.88889	5348.966667	1782.988889	231.5555556
15	19751.66016	5925.498047	1975.166016	274.4824219
