Policy	A	B
1	2.35	0.00
2	2.09	0.32
3	2.47	0.30
4	2.97	0.33
5	5.13	0.47
6	8.93	0.66
7	15.57	0.91
8	37.53	1.52
9	53.80	2.27
10	94.27	2.47
11	144.65	3.32
12	195.13	4.05
13	282.21	5.18
14	386.56	6.28
15	654.70	7.32
