Policy	A	B
1	27.58	15.90
2	38.46	24.28
3	49.51	34.22
4	73.43	42.35
5	119.94	49.20
6	186.44	60.40
7	226.05	72.09
8	330.48	89.71
9	403.94	105.48
10	522.11	114.36
11	669.86	142.29
12	1007.80	175.56
13	1313.04	198.76
14	1462.86	260.65
15	1749.18	272.91
