Policy	A	B
1	2.25	0.00
2	2.24	0.29
3	3.12	0.25
4	6.39	0.35
5	16.65	0.46
6	45.59	0.81
7	138.01	1.25
8	327.57	2.30
9	763.39	3.65
10	1365.01	4.59
11	2710.31	8.07
12	5260.99	11.49
13	8980.64	16.47
14	16909.56	19.63
15	28009.97	25.76
