Policy	A	B
1	5.87	4.92
2	9.21	6.40
3	17.56	10.57
4	32.04	16.42
5	61.78	27.67
6	120.40	46.07
7	209.20	73.70
8	389.11	124.08
9	652.38	193.50
10	963.63	271.03
11	1511.99	356.10
12	2225.82	492.09
13	3172.17	651.96
14	4585.78	850.88
15	6388.58	1118.90
