Policy	A	B
1	3.08	3.15
2	3.05	2.61
3	3.99	2.88
4	6.27	3.42
5	9.31	4.52
6	17.16	7.14
7	27.02	10.27
8	48.50	15.32
9	73.25	22.09
10	106.81	28.23
11	165.89	41.20
12	238.17	54.54
13	329.41	73.72
14	447.32	90.73
15	589.95	114.97
