Policy	A	B
1	26.79	13.81
2	35.82	23.85
3	51.27	32.32
4	75.93	40.24
5	123.88	48.31
6	189.72	61.04
7	225.98	69.55
8	333.66	90.28
9	419.10	100.30
10	523.24	109.04
11	668.29	118.45
12	1028.24	169.74
13	1332.26	226.44
14	1500.80	266.33
15	1797.92	299.52
