Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            14.08         0.00             0.00             14.08              365.31   
0.15            0.00          0.09             0.00             0.24               365.55   
0.02            0.00          0.03             0.00             0.05               365.60   
0.02            0.00          0.03             0.00             0.05               365.65   
0.01            0.00          0.08             0.00             0.09               365.74   
0.01            0.00          0.07             0.00             0.08               365.82   
0.02            0.00          0.03             0.00             0.05               365.87   
0.02            0.00          0.03             0.00             0.05               365.92   
0.02            0.00          0.03             0.00             0.05               365.97   
0.02            0.00          0.06             0.00             0.08               366.05   
0.02            0.00          0.04             0.00             0.06               366.11   
0.02            0.00          0.03             0.00             0.05               366.16   
0.02            0.00          0.08             0.00             0.10               366.26   
0.02            0.00          0.02             0.00             0.04               366.30   
0.02            0.00          0.01             0.00             0.03               366.33   
0.04            0.00          0.01             0.00             0.05               366.38   
0.01            0.00          0.02             0.00             0.03               366.41   
0.01            0.00          0.04             0.00             0.05               366.46   
0.01            0.00          0.01             0.00             0.02               366.48   
0.01            0.00          0.01             0.00             0.02               366.50   
0.01            0.00          0.02             0.00             0.03               366.53   
0.01            0.00          0.02             0.00             0.03               366.56   
0.01            0.00          0.04             0.00             0.05               366.61   
0.01            0.00          0.02             0.00             0.03               366.64   
0.01            0.00          0.05             0.00             0.06               366.70   
0.01            0.00          0.02             0.00             0.03               366.73   
0.01            0.00          0.02             0.00             0.03               366.76   
0.01            0.00          0.02             0.00             0.03               366.79   
0.01            0.00          0.04             0.00             0.05               366.84   
0.01            0.00          0.01             0.00             0.02               366.86   
0.01            0.00          0.01             0.00             0.02               366.88   
0.01            0.00          0.01             0.00             0.02               366.90   
0.01            0.00          0.01             0.00             0.02               366.92   
0.01            0.00          0.01             0.00             0.02               366.94   
0.01            0.00          0.01             0.00             0.02               366.96   
0.01            0.00          0.01             0.00             0.02               366.98   
0.02            0.00          0.01             0.00             0.03               367.01   
0.02            0.00          0.01             0.00             0.03               367.04   
0.03            0.00          0.01             0.00             0.04               367.08   
0.02            0.00          0.01             0.00             0.03               367.11   
0.02            0.00          0.01             0.00             0.03               367.14   
0.02            0.00          0.01             0.00             0.03               367.17   
0.02            0.00          0.01             0.00             0.03               367.20   
0.02            0.00          0.01             0.00             0.03               367.23   
0.02            0.00          0.06             0.00             0.08               367.31   
0.02            0.00          0.01             0.00             0.03               367.34   
0.01            0.00          0.01             0.00             0.02               367.36   
0.01            0.00          0.00             0.00             0.01               367.37   
0.01            0.00          0.00             0.00             0.01               367.38   
0.01            0.00          0.01             0.00             0.02               367.40   
0.01            0.00          0.01             0.00             0.02               367.42   
0.01            0.00          0.00             0.00             0.01               367.43   
0.01            0.00          0.00             0.00             0.01               367.44   
0.01            0.00          0.01             0.00             0.02               367.46   
0.01            0.00          0.00             0.00             0.01               367.47   
0.01            0.00          0.00             0.00             0.01               367.48   
0.01            0.00          0.00             0.00             0.01               367.49   
0.01            0.00          0.00             0.00             0.01               367.50   
0.01            0.00          0.00             0.00             0.01               367.51   
0.01            0.00          0.00             0.00             0.01               367.52   
0.01            0.00          0.01             0.00             0.02               367.54   
0.01            0.00          0.00             0.00             0.01               367.55   
0.01            0.00          0.06             0.00             0.07               367.62   
0.02            0.00          0.01             0.00             0.03               367.65   
0.01            0.00          0.01             0.00             0.02               367.67   
0.01            0.00          0.01             0.00             0.02               367.69   
0.01            0.00          0.00             0.00             0.01               367.70   
0.01            0.00          0.00             0.00             0.01               367.71   
0.01            0.00          0.00             0.00             0.01               367.72   
0.02            0.00          0.01             0.00             0.03               367.75   
0.01            0.00          0.01             0.00             0.02               367.77   
0.01            0.00          0.01             0.00             0.02               367.79   
0.01            0.00          0.05             0.00             0.06               367.85   
0.02            0.00          0.01             0.00             0.03               367.88   
0.03            0.00          0.01             0.00             0.04               367.92   
0.02            0.00          0.01             0.00             0.03               367.95   
0.01            0.00          0.01             0.00             0.02               367.97   
0.01            0.00          0.01             0.00             0.02               367.99   
0.01            0.00          0.01             0.00             0.02               368.01   
0.01            0.00          0.01             0.00             0.02               368.03   
0.01            0.00          0.04             0.00             0.05               368.08   
0.01            0.00          0.01             0.00             0.02               368.10   
0.01            0.00          0.01             0.00             0.02               368.12   
0.01            0.00          0.01             0.00             0.02               368.14   
0.01            0.00          0.00             0.00             0.01               368.15   
0.01            0.00          0.00             0.00             0.01               368.16   
0.01            0.00          0.00             0.00             0.01               368.17   
0.01            0.00          0.00             0.00             0.01               368.18   
0.02            0.00          0.00             0.00             0.02               368.20   
0.00            0.00          0.00             1.51             1.51               369.71   
