Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            78.05         0.00             0.00             78.05              1632.56  
0.10            0.00          0.08             0.00             0.18               1632.74  
0.02            0.00          0.05             0.00             0.07               1632.81  
0.02            0.00          0.04             0.00             0.06               1632.87  
0.02            0.00          0.03             0.00             0.05               1632.92  
0.02            0.00          0.03             0.00             0.05               1632.97  
0.02            0.00          0.05             0.00             0.07               1633.04  
0.03            0.00          0.03             0.00             0.06               1633.10  
0.02            0.00          0.03             0.00             0.05               1633.15  
0.02            0.00          0.05             0.00             0.07               1633.22  
0.02            0.00          0.06             0.00             0.08               1633.30  
0.02            0.00          0.03             0.00             0.05               1633.35  
0.02            0.00          0.04             0.00             0.06               1633.41  
0.02            0.00          0.01             0.00             0.03               1633.44  
0.02            0.00          0.01             0.00             0.03               1633.47  
0.02            0.00          0.01             0.00             0.03               1633.50  
0.02            0.00          0.01             0.00             0.03               1633.53  
0.02            0.00          0.01             0.00             0.03               1633.56  
0.02            0.00          0.01             0.00             0.03               1633.59  
0.02            0.00          0.01             0.00             0.03               1633.62  
0.02            0.00          0.02             0.00             0.04               1633.66  
0.03            0.00          0.01             0.00             0.04               1633.70  
0.01            0.00          0.02             0.00             0.03               1633.73  
0.01            0.00          0.01             0.00             0.02               1633.75  
0.01            0.00          0.01             0.00             0.02               1633.77  
0.01            0.00          0.01             0.00             0.02               1633.79  
0.01            0.00          0.01             0.00             0.02               1633.81  
0.01            0.00          0.02             0.00             0.03               1633.84  
0.01            0.00          0.04             0.00             0.05               1633.89  
0.01            0.00          0.01             0.00             0.02               1633.91  
0.01            0.00          0.01             0.00             0.02               1633.93  
0.01            0.00          0.01             0.00             0.02               1633.95  
0.01            0.00          0.01             0.00             0.02               1633.97  
0.01            0.00          0.02             0.00             0.03               1634.00  
0.02            0.00          0.01             0.00             0.03               1634.03  
0.01            0.00          0.02             0.00             0.03               1634.06  
0.02            0.00          0.02             0.00             0.04               1634.10  
0.05            0.00          0.04             0.00             0.09               1634.19  
0.02            0.00          0.03             0.00             0.05               1634.24  
0.02            0.00          0.00             0.00             0.02               1634.26  
0.01            0.00          0.00             0.00             0.01               1634.27  
0.02            0.00          0.00             0.00             0.02               1634.29  
0.03            0.00          0.00             0.00             0.03               1634.32  
0.01            0.00          0.00             0.00             0.01               1634.33  
0.02            0.00          0.00             0.00             0.02               1634.35  
0.02            0.00          0.00             0.00             0.02               1634.37  
0.01            0.00          0.00             0.00             0.01               1634.38  
0.01            0.00          0.00             0.00             0.01               1634.39  
0.01            0.00          0.00             0.00             0.01               1634.40  
0.02            0.00          0.00             0.00             0.02               1634.42  
0.01            0.00          0.00             0.00             0.01               1634.43  
0.01            0.00          0.00             0.00             0.01               1634.44  
0.01            0.00          0.00             0.00             0.01               1634.45  
0.01            0.00          0.00             0.00             0.01               1634.46  
0.01            0.00          0.00             0.00             0.01               1634.47  
0.01            0.00          0.00             0.00             0.01               1634.48  
0.01            0.00          0.00             0.00             0.01               1634.49  
0.00            0.00          0.00             1.82             1.82               1636.31  
