Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
2,1,4,0.0342,0.8144
2,1,5,0.0440,1.0815
2,2,7,0.0459,1.0725
2,4,9,0.1022,2.1278
2,4,9,0.0557,1.4962
2,0,4,0.0480,0.8752
2,0,4,0.0267,0.7757
2,1,5,0.0370,0.9142
2,2,9,0.0349,1.2489
2,2,8,0.0421,1.1350
2,1,9,0.0277,1.0163
2,2,9,0.0353,1.1087
