SingleRound,AllRound,WholeTime
0.0217,0.0217,1021.7820
0.0179,0.0396,1021.7820
0.0182,0.0579,1021.7820
0.0187,0.0766,1021.7820
0.0159,0.0926,1021.7820
0.0203,0.1128,1021.7820
0.0171,0.1299,1021.7820
0.0183,0.1482,1021.7820
0.0229,0.1711,1021.7820
0.0168,0.1879,1021.7820
0.0237,0.2116,1021.7820
0.0247,0.2364,1021.7820
0.0386,0.2750,1021.7820
0.0543,0.3293,1021.7820
0.0541,0.3834,1021.7820
0.0309,0.4143,1021.7820
0.0223,0.4366,1021.7820
0.0195,0.4561,1021.7820
0.0196,0.4757,1021.7820
0.0195,0.4952,1021.7820
0.0201,0.5153,1021.7820
0.0221,0.5375,1021.7820
0.0234,0.5609,1021.7820
0.0337,0.5946,1021.7820
0.0430,0.6376,1021.7820
0.0289,0.6665,1021.7820
0.0242,0.6907,1021.7820
0.0248,0.7155,1021.7820
0.0274,0.7430,1021.7820
0.0356,0.7786,1021.7820
0.0280,0.8067,1021.7820
0.0319,0.8385,1021.7820
0.0279,0.8665,1021.7820
0.0316,0.8981,1021.7820
0.0308,0.9289,1021.7820
0.0308,0.9598,1021.7820
0.0319,0.9916,1021.7820
0.0457,1.0373,1021.7820
0.0406,1.0779,1021.7820
0.0409,1.1188,1021.7820
0.0384,1.1572,1021.7820
0.0385,1.1956,1021.7820
0.0398,1.2355,1021.7820
0.0404,1.2758,1021.7820
0.0425,1.3184,1021.7820
0.0419,1.3603,1021.7820
0.0444,1.4047,1021.7820
0.0507,1.4554,1021.7820
0.0465,1.5019,1021.7820
0.0467,1.5486,1021.7820
0.0469,1.5955,1021.7820
0.0476,1.6431,1021.7820
0.0489,1.6920,1021.7820
0.0513,1.7433,1021.7820
0.0504,1.7937,1021.7820
0.0617,1.8554,1021.7820
0.0535,1.9089,1021.7820
0.0585,1.9674,1021.7820
0.0558,2.0232,1021.7820
0.0557,2.0789,1021.7820
0.0561,2.1350,1021.7820
0.0569,2.1919,1021.7820
0.0578,2.2497,1021.7820
0.0680,2.3177,1021.7820
0.0595,2.3772,1021.7820
0.0600,2.4372,1021.7820
0.0609,2.4981,1021.7820
0.0689,2.5670,1021.7820
0.0640,2.6310,1021.7820
0.0631,2.6941,1021.7820
0.0641,2.7582,1021.7820
0.0744,2.8326,1021.7820
0.0769,2.9094,1021.7820
0.0774,2.9869,1021.7820
0.0800,3.0668,1021.7820
0.0774,3.1442,1021.7820
0.0797,3.2239,1021.7820
0.0793,3.3032,1021.7820
0.1001,3.4033,1021.7820
0.0936,3.4968,1021.7820
0.0720,3.5689,1021.7820
0.0727,3.6416,1021.7820
0.0735,3.7151,1021.7820
0.0744,3.7895,1021.7820
0.0764,3.8659,1021.7820
0.0760,3.9419,1021.7820
0.0767,4.0187,1021.7820
0.0940,4.1126,1021.7820
0.0793,4.1919,1021.7820
0.0791,4.2710,1021.7820
0.0797,4.3507,1021.7820
0.0879,4.4387,1021.7820
0.0822,4.5209,1021.7820
0.0820,4.6029,1021.7820
0.0826,4.6854,1021.7820
0.0950,4.7805,1021.7820
0.0934,4.8739,1021.7820
0.1274,5.0012,1021.7820
0.1329,5.1341,1021.7820
0.1591,5.2932,1021.7820
0.1683,5.4615,1021.7820
0.1921,5.6536,1021.7820
