Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
1,1,8,0.0084,0.5881
2,4,25,0.0142,0.8054
3,9,55,0.0299,2.3206
4,16,101,0.1252,13.4648
5,25,166,0.3942,66.3390
6,36,253,0.9352,237.7311
7,49,365,2.7966,1021.7820
