Number of Statements,Number of Findings,Rounds,Average Time per Round (s),Total Time (s)
2,1,4,0.0042,1.2996
2,1,5,0.0040,1.4130
2,2,7,0.0081,1.8575
2,2,9,0.0247,1.9230
2,2,9,0.0110,1.5253
2,0,4,0.0053,0.4989
2,0,4,0.0039,0.5456
2,1,6,0.0032,1.4129
2,1,9,0.0064,1.5498
2,1,8,0.0065,1.5122
2,1,9,0.0061,1.6549
2,1,9,0.0068,1.4706
