Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            9.02          0.00             0.00             9.02               9.02     
0.02            0.00          0.00             0.00             0.47               9.49     
0.01            0.00          0.00             0.00             0.09               9.58     
0.01            0.00          0.00             0.00             0.06               9.64     
0.00            0.00          0.00             0.00             0.06               9.70     
0.00            0.00          0.00             0.27             0.27               9.97     
