Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            5.60          0.00             0.00             5.60               5.60     
0.02            0.00          0.00             0.00             0.44               6.04     
0.01            0.00          0.00             0.00             0.08               6.12     
0.01            0.00          0.00             0.00             0.05               6.17     
0.00            0.00          0.00             0.00             0.05               6.22     
0.01            0.00          0.00             0.24             0.31               6.53     
