Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            5.35          0.00             0.00             5.35               5.35     
0.01            0.00          0.00             0.00             0.48               5.83     
0.00            0.00          0.00             0.00             0.07               5.90     
0.04            0.00          0.00             0.00             0.04               5.94     
0.01            0.00          0.00             0.00             0.08               6.02     
0.00            0.00          0.00             0.27             0.27               6.29     
