Encoding        Labels        Operation        Reduction        SingleRound        AllRounds
0.00            7.03          0.00             0.00             7.03               7.03     
0.01            0.00          0.00             0.00             0.55               7.58     
0.07            0.00          0.00             0.00             0.07               7.65     
0.01            0.00          0.00             0.00             0.08               7.73     
0.01            0.00          0.00             0.00             0.06               7.79     
0.01            0.00          0.00             0.30             0.37               8.16     
